REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2013-01,Canada,"Architectural, engineering and related services price index",101.4,NA,NA
2013-01,Canada,Architectural and landscape architectural services,88.9,NA,NA
2013-01,Canada,Engineering services,103.5,NA,NA
2013-01,Canada,Surveying and mapping services,98.9,NA,NA
2013-04,Canada,"Architectural, engineering and related services price index",102,NA,NA
2013-04,Canada,Architectural and landscape architectural services,89.8,NA,NA
2013-04,Canada,Engineering services,104.1,NA,NA
2013-04,Canada,Surveying and mapping services,98.6,NA,NA
2013-07,Canada,"Architectural, engineering and related services price index",102.2,NA,NA
2013-07,Canada,Architectural and landscape architectural services,89.8,NA,NA
2013-07,Canada,Engineering services,104.3,NA,NA
2013-07,Canada,Surveying and mapping services,98.8,NA,NA
2013-10,Canada,"Architectural, engineering and related services price index",102.3,NA,NA
2013-10,Canada,Architectural and landscape architectural services,90,NA,NA
2013-10,Canada,Engineering services,104.3,NA,NA
2013-10,Canada,Surveying and mapping services,99,NA,NA
2014-01,Canada,"Architectural, engineering and related services price index",101.6,NA,NA
2014-01,Canada,Architectural and landscape architectural services,91.7,NA,NA
2014-01,Canada,Engineering services,103.1,NA,NA
2014-01,Canada,Surveying and mapping services,101,NA,NA
2014-04,Canada,"Architectural, engineering and related services price index",101.4,NA,NA
2014-04,Canada,Architectural and landscape architectural services,92.3,NA,NA
2014-04,Canada,Engineering services,102.9,NA,NA
2014-04,Canada,Surveying and mapping services,100.4,NA,NA
2014-07,Canada,"Architectural, engineering and related services price index",101.6,NA,NA
2014-07,Canada,Architectural and landscape architectural services,93.2,NA,NA
2014-07,Canada,Engineering services,102.9,NA,NA
2014-07,Canada,Surveying and mapping services,100.9,NA,NA
2014-10,Canada,"Architectural, engineering and related services price index",101.6,NA,NA
2014-10,Canada,Architectural and landscape architectural services,93.8,NA,NA
2014-10,Canada,Engineering services,102.8,NA,NA
2014-10,Canada,Surveying and mapping services,101.7,NA,NA
2015-01,Canada,"Architectural, engineering and related services price index",101.1,NA,NA
2015-01,Canada,Architectural and landscape architectural services,94.2,NA,NA
2015-01,Canada,Engineering services,102,NA,NA
2015-01,Canada,Surveying and mapping services,102,NA,NA
2015-04,Canada,"Architectural, engineering and related services price index",101.1,NA,NA
2015-04,Canada,Architectural and landscape architectural services,94.2,NA,NA
2015-04,Canada,Engineering services,102.1,NA,NA
2015-04,Canada,Surveying and mapping services,101.6,NA,NA
2015-07,Canada,"Architectural, engineering and related services price index",101.1,NA,NA
2015-07,Canada,Architectural and landscape architectural services,94.6,NA,NA
2015-07,Canada,Engineering services,102,NA,NA
2015-07,Canada,Surveying and mapping services,101.8,NA,NA
2015-10,Canada,"Architectural, engineering and related services price index",100.7,NA,NA
2015-10,Canada,Architectural and landscape architectural services,95,NA,NA
2015-10,Canada,Engineering services,101.6,NA,NA
2015-10,Canada,Surveying and mapping services,100.8,NA,NA
2016-01,Canada,"Architectural, engineering and related services price index",99.3,NA,NA
2016-01,Canada,Architectural and landscape architectural services,96.2,NA,NA
2016-01,Canada,Engineering services,99.7,NA,NA
2016-01,Canada,Surveying and mapping services,100.1,NA,NA
2016-04,Canada,"Architectural, engineering and related services price index",98.3,NA,NA
2016-04,Canada,Architectural and landscape architectural services,96.2,NA,NA
2016-04,Canada,Engineering services,98.7,NA,NA
2016-04,Canada,Surveying and mapping services,97.9,NA,NA
2016-07,Canada,"Architectural, engineering and related services price index",97.7,NA,NA
2016-07,Canada,Architectural and landscape architectural services,96.4,NA,NA
2016-07,Canada,Engineering services,97.9,NA,NA
2016-07,Canada,Surveying and mapping services,98.1,NA,NA
2016-10,Canada,"Architectural, engineering and related services price index",97.7,NA,NA
2016-10,Canada,Architectural and landscape architectural services,96.5,NA,NA
2016-10,Canada,Engineering services,97.8,NA,NA
2016-10,Canada,Surveying and mapping services,98.5,NA,NA
2017-01,Canada,"Architectural, engineering and related services price index",97.8,NA,NA
2017-01,Canada,Architectural and landscape architectural services,97.6,NA,NA
2017-01,Canada,Engineering services,97.7,NA,NA
2017-01,Canada,Surveying and mapping services,99,NA,NA
