REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2006-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.3,NA,[5324]
2006-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.6,NA,[53241]
2006-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,102.1,NA,NA
2006-08,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.3,NA,[5324]
2006-08,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.7,NA,[53241]
2006-08,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,102,NA,NA
2006-09,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.4,NA,[5324]
2006-09,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.8,NA,[53241]
2006-09,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,102,NA,NA
2006-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.1,NA,[5324]
2006-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.4,NA,[53241]
2006-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,102.1,NA,NA
2006-11,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.1,NA,[5324]
2006-11,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.5,NA,[53241]
2006-11,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,101.9,NA,NA
2006-12,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.1,NA,[5324]
2006-12,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.5,NA,[53241]
2006-12,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,101.8,NA,NA
2007-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.7,NA,[5324]
2007-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96,NA,[53241]
2007-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,101.7,NA,NA
2007-02,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.8,NA,[5324]
2007-02,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.3,NA,[53241]
2007-02,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,101.9,NA,NA
2007-03,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],101,NA,[5324]
2007-03,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.4,NA,[53241]
2007-03,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,102.3,NA,NA
2007-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.4,NA,[5324]
2007-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.2,NA,[53241]
2007-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,101,NA,NA
2007-05,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.3,NA,[5324]
2007-05,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.3,NA,[53241]
2007-05,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,100.3,NA,NA
2007-06,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.1,NA,[5324]
2007-06,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.3,NA,[53241]
2007-06,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,99.5,NA,NA
2007-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.5,NA,[5324]
2007-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",101,NA,[53241]
2007-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,99.2,NA,NA
2007-08,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.4,NA,[5324]
2007-08,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.9,NA,[53241]
2007-08,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,99.3,NA,NA
2007-09,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.4,NA,[5324]
2007-09,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.7,NA,[53241]
2007-09,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,99.6,NA,NA
2007-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.4,NA,[5324]
2007-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.7,NA,[53241]
2007-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.5,NA,NA
2007-11,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.5,NA,[5324]
2007-11,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.1,NA,[53241]
2007-11,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.4,NA,NA
2007-12,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.7,NA,[5324]
2007-12,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.3,NA,[53241]
2007-12,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.2,NA,NA
2008-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.2,NA,[5324]
2008-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",101.1,NA,[53241]
2008-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.2,NA,NA
2008-02,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.4,NA,[5324]
2008-02,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",101.3,NA,[53241]
2008-02,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.5,NA,NA
2008-03,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.3,NA,[5324]
2008-03,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",101.1,NA,[53241]
2008-03,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.3,NA,NA
2008-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.9,NA,[5324]
2008-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.7,NA,[53241]
2008-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.9,NA,NA
2008-05,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.9,NA,[5324]
2008-05,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.7,NA,[53241]
2008-05,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.2,NA,NA
2008-06,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100,NA,[5324]
2008-06,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.5,NA,[53241]
2008-06,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.8,NA,NA
2008-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.6,NA,[5324]
2008-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.3,NA,[53241]
2008-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.1,NA,NA
2008-08,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.3,NA,[5324]
2008-08,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100,NA,[53241]
2008-08,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.8,NA,NA
2008-09,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99,NA,[5324]
2008-09,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.5,NA,[53241]
2008-09,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.8,NA,NA
2008-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.8,NA,[5324]
2008-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.2,NA,[53241]
2008-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.9,NA,NA
2008-11,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.5,NA,[5324]
2008-11,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.4,NA,[53241]
2008-11,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.6,NA,NA
2008-12,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.5,NA,[5324]
2008-12,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.4,NA,[53241]
2008-12,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.5,NA,NA
2009-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99,NA,[5324]
2009-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.7,NA,[53241]
2009-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.6,NA,NA
2009-02,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99,NA,[5324]
2009-02,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.8,NA,[53241]
2009-02,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.2,NA,NA
2009-03,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.5,NA,[5324]
2009-03,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.5,NA,[53241]
2009-03,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,96.3,NA,NA
2009-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.9,NA,[5324]
2009-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.3,NA,[53241]
2009-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,94.7,NA,NA
2009-05,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.3,NA,[5324]
2009-05,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.4,NA,[53241]
2009-05,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,94.7,NA,NA
2009-06,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.2,NA,[5324]
2009-06,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.4,NA,[53241]
2009-06,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,94.5,NA,NA
2009-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.2,NA,[5324]
2009-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.3,NA,[53241]
2009-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,93.8,NA,NA
2009-08,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.5,NA,[5324]
2009-08,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.2,NA,[53241]
2009-08,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,93.7,NA,NA
2009-09,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.2,NA,[5324]
2009-09,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.2,NA,[53241]
2009-09,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,94,NA,NA
2009-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.5,NA,[5324]
2009-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.8,NA,[53241]
2009-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,93.8,NA,NA
2009-11,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.9,NA,[5324]
2009-11,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.4,NA,[53241]
2009-11,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,93.7,NA,NA
2009-12,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.7,NA,[5324]
2009-12,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.3,NA,[53241]
2009-12,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,93.4,NA,NA
2010-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.2,NA,[5324]
2010-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.9,NA,[53241]
2010-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.8,NA,NA
2010-02,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.2,NA,[5324]
2010-02,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.8,NA,[53241]
2010-02,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.8,NA,NA
2010-03,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94,NA,[5324]
2010-03,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.5,NA,[53241]
2010-03,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.8,NA,NA
2010-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.4,NA,[5324]
2010-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",93.9,NA,[53241]
2010-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.3,NA,NA
2010-05,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.6,NA,[5324]
2010-05,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.1,NA,[53241]
2010-05,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.5,NA,NA
2010-06,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.8,NA,[5324]
2010-06,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.4,NA,[53241]
2010-06,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.4,NA,NA
2010-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.4,NA,[5324]
2010-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94,NA,[53241]
2010-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.1,NA,NA
2010-08,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.4,NA,[5324]
2010-08,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94,NA,[53241]
2010-08,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92,NA,NA
2010-09,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.3,NA,[5324]
2010-09,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",93.8,NA,[53241]
2010-09,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.1,NA,NA
2010-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.3,NA,[5324]
2010-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",93.9,NA,[53241]
2010-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.9,NA,NA
2010-11,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.4,NA,[5324]
2010-11,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.3,NA,[53241]
2010-11,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.5,NA,NA
2010-12,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.4,NA,[5324]
2010-12,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.3,NA,[53241]
2010-12,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.4,NA,NA
2011-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.6,NA,[5324]
2011-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.4,NA,[53241]
2011-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.6,NA,NA
2011-02,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.2,NA,[5324]
2011-02,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.4,NA,[53241]
2011-02,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.6,NA,NA
2011-03,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.5,NA,[5324]
2011-03,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.7,NA,[53241]
2011-03,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,90.8,NA,NA
2011-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.8,NA,[5324]
2011-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.6,NA,[53241]
2011-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.9,NA,NA
2011-05,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.4,NA,[5324]
2011-05,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.2,NA,[53241]
2011-05,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.7,NA,NA
2011-06,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.8,NA,[5324]
2011-06,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.7,NA,[53241]
2011-06,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.8,NA,NA
2011-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.9,NA,[5324]
2011-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.1,NA,[53241]
2011-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.2,NA,NA
2011-08,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2011-08,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.3,NA,[53241]
2011-08,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.7,NA,NA
2011-09,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.1,NA,[5324]
2011-09,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.4,NA,[53241]
2011-09,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.3,NA,NA
2011-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2011-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.6,NA,[53241]
2011-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.1,NA,NA
2011-11,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.1,NA,[5324]
2011-11,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.6,NA,[53241]
2011-11,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92,NA,NA
2011-12,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.9,NA,[5324]
2011-12,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.2,NA,[53241]
2011-12,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.9,NA,NA
2012-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2012-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97,NA,[53241]
2012-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.4,NA,NA
2012-02,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.3,NA,[5324]
2012-02,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97,NA,[53241]
2012-02,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.4,NA,NA
2012-03,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2012-03,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-03,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.5,NA,NA
2012-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.3,NA,[5324]
2012-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.7,NA,NA
2012-05,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.3,NA,[5324]
2012-05,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-05,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.8,NA,NA
2012-06,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2012-06,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-06,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.4,NA,NA
2012-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.8,NA,[5324]
2012-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.5,NA,[53241]
2012-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.2,NA,NA
2012-08,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.4,NA,[5324]
2012-08,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-08,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.3,NA,NA
2012-09,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.4,NA,[5324]
2012-09,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-09,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.1,NA,NA
2012-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.9,NA,[5324]
2012-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.3,NA,[53241]
2012-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92,NA,NA
2012-11,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.6,NA,[5324]
2012-11,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96,NA,[53241]
2012-11,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.7,NA,NA
