REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2006-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.3,NA,[5324]
2006-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.7,NA,[53241]
2006-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,102,NA,NA
2006-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.1,NA,[5324]
2006-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.5,NA,[53241]
2006-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,101.9,NA,NA
2007-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.8,NA,[5324]
2007-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.9,NA,[53241]
2007-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,102,NA,NA
2007-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.3,NA,[5324]
2007-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.2,NA,[53241]
2007-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,100.3,NA,NA
2007-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.4,NA,[5324]
2007-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.9,NA,[53241]
2007-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,99.4,NA,NA
2007-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.5,NA,[5324]
2007-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100,NA,[53241]
2007-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.4,NA,NA
2008-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],100.3,NA,[5324]
2008-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",101.2,NA,[53241]
2008-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.3,NA,NA
2008-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.9,NA,[5324]
2008-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100.6,NA,[53241]
2008-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,98.3,NA,NA
2008-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.3,NA,[5324]
2008-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.9,NA,[53241]
2008-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.9,NA,NA
2008-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],99.3,NA,[5324]
2008-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",100,NA,[53241]
2008-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97.7,NA,NA
2009-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],98.9,NA,[5324]
2009-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",99.7,NA,[53241]
2009-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,97,NA,NA
2009-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],97.5,NA,[5324]
2009-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.7,NA,[53241]
2009-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,94.6,NA,NA
2009-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.9,NA,[5324]
2009-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2009-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,93.8,NA,NA
2009-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.7,NA,[5324]
2009-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.2,NA,[53241]
2009-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,93.7,NA,NA
2010-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.1,NA,[5324]
2010-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.7,NA,[53241]
2010-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.8,NA,NA
2010-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.6,NA,[5324]
2010-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.1,NA,[53241]
2010-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.4,NA,NA
2010-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.4,NA,[5324]
2010-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",93.9,NA,[53241]
2010-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.1,NA,NA
2010-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.4,NA,[5324]
2010-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.2,NA,[53241]
2010-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.6,NA,NA
2011-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],93.4,NA,[5324]
2011-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",94.5,NA,[53241]
2011-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91,NA,NA
2011-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.4,NA,[5324]
2011-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.2,NA,[53241]
2011-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.5,NA,NA
2011-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.1,NA,[5324]
2011-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.3,NA,[53241]
2011-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.4,NA,NA
2011-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.1,NA,[5324]
2011-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.5,NA,[53241]
2011-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92,NA,NA
2012-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2012-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97,NA,[53241]
2012-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.5,NA,NA
2012-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.2,NA,[5324]
2012-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.9,NA,[53241]
2012-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.6,NA,NA
2012-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.6,NA,[5324]
2012-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.1,NA,[53241]
2012-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.2,NA,NA
2012-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.8,NA,[5324]
2012-10,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",96.1,NA,[53241]
2012-10,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.8,NA,NA
2013-01,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],94.7,NA,[5324]
2013-01,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",95.9,NA,[53241]
2013-01,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,92.2,NA,NA
2013-04,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],95.6,NA,[5324]
2013-04,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",97.6,NA,[53241]
2013-04,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.1,NA,NA
2013-07,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96.1,NA,[5324]
2013-07,Canada,"Construction, transportation, mining and forestry equipment rental and leasing [53241]",98.2,NA,[53241]
2013-07,Canada,Office and other commercial and industrial machinery and equipment rental and leasing,91.5,NA,NA
2013-10,Canada,Commercial and industrial machinery and equipment rental and leasing [5324],96,NA,[5324]
