REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2003-01,Canada,Couriers and messengers [492],99.4,NA,[492]
2003-01,Canada,Couriers [4921],99.4,NA,[4921]
2003-01,Canada,Local messengers and local delivery [4922],99.6,NA,[4922]
2003-02,Canada,Couriers and messengers [492],99.6,NA,[492]
2003-02,Canada,Couriers [4921],99.5,NA,[4921]
2003-02,Canada,Local messengers and local delivery [4922],99.6,NA,[4922]
2003-03,Canada,Couriers and messengers [492],99.8,NA,[492]
2003-03,Canada,Couriers [4921],99.8,NA,[4921]
2003-03,Canada,Local messengers and local delivery [4922],99.6,NA,[4922]
2003-04,Canada,Couriers and messengers [492],100.5,NA,[492]
2003-04,Canada,Couriers [4921],100.7,NA,[4921]
2003-04,Canada,Local messengers and local delivery [4922],99.6,NA,[4922]
2003-05,Canada,Couriers and messengers [492],100.3,NA,[492]
2003-05,Canada,Couriers [4921],100.5,NA,[4921]
2003-05,Canada,Local messengers and local delivery [4922],99.6,NA,[4922]
2003-06,Canada,Couriers and messengers [492],99.8,NA,[492]
2003-06,Canada,Couriers [4921],99.9,NA,[4921]
2003-06,Canada,Local messengers and local delivery [4922],99.6,NA,[4922]
2003-07,Canada,Couriers and messengers [492],99.7,NA,[492]
2003-07,Canada,Couriers [4921],99.7,NA,[4921]
2003-07,Canada,Local messengers and local delivery [4922],99.9,NA,[4922]
2003-08,Canada,Couriers and messengers [492],99.8,NA,[492]
2003-08,Canada,Couriers [4921],99.7,NA,[4921]
2003-08,Canada,Local messengers and local delivery [4922],99.9,NA,[4922]
2003-09,Canada,Couriers and messengers [492],100.2,NA,[492]
2003-09,Canada,Couriers [4921],100.1,NA,[4921]
2003-09,Canada,Local messengers and local delivery [4922],100.6,NA,[4922]
2003-10,Canada,Couriers and messengers [492],100.7,NA,[492]
2003-10,Canada,Couriers [4921],100.7,NA,[4921]
2003-10,Canada,Local messengers and local delivery [4922],100.6,NA,[4922]
2003-11,Canada,Couriers and messengers [492],100.1,NA,[492]
2003-11,Canada,Couriers [4921],100,NA,[4921]
2003-11,Canada,Local messengers and local delivery [4922],100.6,NA,[4922]
2003-12,Canada,Couriers and messengers [492],100.2,NA,[492]
2003-12,Canada,Couriers [4921],100.1,NA,[4921]
2003-12,Canada,Local messengers and local delivery [4922],100.6,NA,[4922]
2004-01,Canada,Couriers and messengers [492],101.2,NA,[492]
2004-01,Canada,Couriers [4921],101,NA,[4921]
2004-01,Canada,Local messengers and local delivery [4922],102.1,NA,[4922]
2004-02,Canada,Couriers and messengers [492],101.5,NA,[492]
2004-02,Canada,Couriers [4921],101.4,NA,[4921]
2004-02,Canada,Local messengers and local delivery [4922],102.2,NA,[4922]
2004-03,Canada,Couriers and messengers [492],102.1,NA,[492]
2004-03,Canada,Couriers [4921],102,NA,[4921]
2004-03,Canada,Local messengers and local delivery [4922],102.5,NA,[4922]
2004-04,Canada,Couriers and messengers [492],102,NA,[492]
2004-04,Canada,Couriers [4921],101.8,NA,[4921]
2004-04,Canada,Local messengers and local delivery [4922],102.7,NA,[4922]
2004-05,Canada,Couriers and messengers [492],102.3,NA,[492]
2004-05,Canada,Couriers [4921],102.1,NA,[4921]
2004-05,Canada,Local messengers and local delivery [4922],103.2,NA,[4922]
2004-06,Canada,Couriers and messengers [492],103.2,NA,[492]
2004-06,Canada,Couriers [4921],103,NA,[4921]
2004-06,Canada,Local messengers and local delivery [4922],104.1,NA,[4922]
2004-07,Canada,Couriers and messengers [492],103.5,NA,[492]
2004-07,Canada,Couriers [4921],103.3,NA,[4921]
2004-07,Canada,Local messengers and local delivery [4922],104.1,NA,[4922]
2004-08,Canada,Couriers and messengers [492],103.3,NA,[492]
2004-08,Canada,Couriers [4921],103,NA,[4921]
2004-08,Canada,Local messengers and local delivery [4922],104.1,NA,[4922]
2004-09,Canada,Couriers and messengers [492],103.5,NA,[492]
2004-09,Canada,Couriers [4921],103.3,NA,[4921]
2004-09,Canada,Local messengers and local delivery [4922],104.2,NA,[4922]
2004-10,Canada,Couriers and messengers [492],103.9,NA,[492]
2004-10,Canada,Couriers [4921],103.9,NA,[4921]
2004-10,Canada,Local messengers and local delivery [4922],104.2,NA,[4922]
2004-11,Canada,Couriers and messengers [492],104.4,NA,[492]
2004-11,Canada,Couriers [4921],104.4,NA,[4921]
2004-11,Canada,Local messengers and local delivery [4922],104.1,NA,[4922]
2004-12,Canada,Couriers and messengers [492],104.8,NA,[492]
2004-12,Canada,Couriers [4921],105,NA,[4921]
2004-12,Canada,Local messengers and local delivery [4922],104.2,NA,[4922]
2005-01,Canada,Couriers and messengers [492],106.8,NA,[492]
2005-01,Canada,Couriers [4921],107.4,NA,[4921]
2005-01,Canada,Local messengers and local delivery [4922],104.2,NA,[4922]
2005-02,Canada,Couriers and messengers [492],107.2,NA,[492]
2005-02,Canada,Couriers [4921],108,NA,[4921]
2005-02,Canada,Local messengers and local delivery [4922],104.1,NA,[4922]
2005-03,Canada,Couriers and messengers [492],107.7,NA,[492]
2005-03,Canada,Couriers [4921],108.6,NA,[4921]
2005-03,Canada,Local messengers and local delivery [4922],104.2,NA,[4922]
2005-04,Canada,Couriers and messengers [492],109,NA,[492]
2005-04,Canada,Couriers [4921],109.4,NA,[4921]
2005-04,Canada,Local messengers and local delivery [4922],107.6,NA,[4922]
2005-05,Canada,Couriers and messengers [492],110.4,NA,[492]
2005-05,Canada,Couriers [4921],110.3,NA,[4921]
