REF_DATE,GEO,Type of peripheral,VALUE,STATUS
2010-01,Canada,Computer monitors and computer printers [E12],133.6,NA
2010-01,Canada,Computer monitors [3611123],120.4,NA
2010-01,Canada,"Computer monitors, businesses and governments [36111231]",120.9,NA
2010-01,Canada,Computer printers [3611124],138.5,NA
2010-01,Canada,Inkjet printers [36111241],147.3,NA
2010-01,Canada,"Inkjet printers, businesses and governments [361112411]",147.4,NA
2010-01,Canada,Laser printers [36111242],132.3,NA
2010-01,Canada,"Laser printers, businesses and governments [361112421]",132.1,NA
2010-02,Canada,Computer monitors and computer printers [E12],133.1,NA
2010-02,Canada,Computer monitors [3611123],121.5,NA
2010-02,Canada,"Computer monitors, businesses and governments [36111231]",121.9,NA
2010-02,Canada,Computer printers [3611124],136.5,NA
2010-02,Canada,Inkjet printers [36111241],145.4,NA
2010-02,Canada,"Inkjet printers, businesses and governments [361112411]",145.5,NA
2010-02,Canada,Laser printers [36111242],130.1,NA
2010-02,Canada,"Laser printers, businesses and governments [361112421]",129.9,NA
2010-03,Canada,Computer monitors and computer printers [E12],133.5,NA
2010-03,Canada,Computer monitors [3611123],119.3,NA
2010-03,Canada,"Computer monitors, businesses and governments [36111231]",119.7,NA
2010-03,Canada,Computer printers [3611124],139.4,NA
2010-03,Canada,Inkjet printers [36111241],148.4,NA
2010-03,Canada,"Inkjet printers, businesses and governments [361112411]",148.6,NA
2010-03,Canada,Laser printers [36111242],132.8,NA
2010-03,Canada,"Laser printers, businesses and governments [361112421]",132.6,NA
2010-04,Canada,Computer monitors and computer printers [E12],132.1,NA
2010-04,Canada,Computer monitors [3611123],118.8,NA
2010-04,Canada,"Computer monitors, businesses and governments [36111231]",119.2,NA
2010-04,Canada,Computer printers [3611124],137.2,NA
2010-04,Canada,Inkjet printers [36111241],146.5,NA
2010-04,Canada,"Inkjet printers, businesses and governments [361112411]",146.7,NA
2010-04,Canada,Laser printers [36111242],130,NA
2010-04,Canada,"Laser printers, businesses and governments [361112421]",129.7,NA
2010-05,Canada,Computer monitors and computer printers [E12],129.9,NA
2010-05,Canada,Computer monitors [3611123],115.8,NA
2010-05,Canada,"Computer monitors, businesses and governments [36111231]",116.2,NA
2010-05,Canada,Computer printers [3611124],135.8,NA
