REF_DATE,GEO,Building Type,VALUE,STATUS
2006-01,Canada,"Total, building type",80.9,NA
2006-02,Canada,"Total, building type",80.7,NA
2006-03,Canada,"Total, building type",81.2,NA
2006-04,Canada,"Total, building type",81.7,NA
2006-05,Canada,"Total, building type",81.5,NA
2006-06,Canada,"Total, building type",81.8,NA
2006-07,Canada,"Total, building type",81.1,NA
2006-08,Canada,"Total, building type",81,NA
2006-09,Canada,"Total, building type",81.2,NA
2006-10,Canada,"Total, building type",81.2,NA
2006-11,Canada,"Total, building type",81.2,NA
2006-12,Canada,"Total, building type",82.2,NA
2007-01,Canada,"Total, building type",81.7,NA
2007-02,Canada,"Total, building type",81.9,NA
2007-03,Canada,"Total, building type",82.1,NA
2007-04,Canada,"Total, building type",81.3,NA
2007-05,Canada,"Total, building type",81.4,NA
2007-06,Canada,"Total, building type",81.2,NA
2007-07,Canada,"Total, building type",82.6,NA
2007-08,Canada,"Total, building type",82.7,NA
2007-09,Canada,"Total, building type",82.9,NA
2007-10,Canada,"Total, building type",82.1,NA
2007-11,Canada,"Total, building type",82.2,NA
2007-12,Canada,"Total, building type",83.2,NA
2008-01,Canada,"Total, building type",82.4,NA
2008-02,Canada,"Total, building type",83,NA
2008-03,Canada,"Total, building type",82.5,NA
2008-04,Canada,"Total, building type",82.3,NA
2008-05,Canada,"Total, building type",81.7,NA
2008-06,Canada,"Total, building type",82.3,NA
2008-07,Canada,"Total, building type",82.4,NA
2008-08,Canada,"Total, building type",82.6,NA
2008-09,Canada,"Total, building type",82.8,NA
2008-10,Canada,"Total, building type",83.4,NA
2008-11,Canada,"Total, building type",83.8,NA
2008-12,Canada,"Total, building type",84.5,NA
2009-01,Canada,"Total, building type",84.1,NA
2009-02,Canada,"Total, building type",84.2,NA
2009-03,Canada,"Total, building type",84.2,NA
2009-04,Canada,"Total, building type",85,NA
2009-05,Canada,"Total, building type",85.2,NA
2009-06,Canada,"Total, building type",85.1,NA
2009-07,Canada,"Total, building type",84.7,NA
2009-08,Canada,"Total, building type",84.7,NA
2009-09,Canada,"Total, building type",85.2,NA
2009-10,Canada,"Total, building type",85,NA
2009-11,Canada,"Total, building type",85.4,NA
2009-12,Canada,"Total, building type",85.6,NA
2010-01,Canada,"Total, building type",85.5,NA
2010-02,Canada,"Total, building type",85.4,NA
2010-03,Canada,"Total, building type",85.4,NA
2010-04,Canada,"Total, building type",85.7,NA
2010-05,Canada,"Total, building type",85.6,NA
2010-06,Canada,"Total, building type",85.8,NA
2010-07,Canada,"Total, building type",85.7,NA
2010-08,Canada,"Total, building type",86,NA
2010-09,Canada,"Total, building type",86.3,NA
2010-10,Canada,"Total, building type",86.9,NA
2010-11,Canada,"Total, building type",87,NA
2010-12,Canada,"Total, building type",87.1,NA
2011-01,Canada,"Total, building type",86.4,NA
2011-02,Canada,"Total, building type",86.8,NA
2011-03,Canada,"Total, building type",87,NA
2011-04,Canada,"Total, building type",87.2,NA
2011-05,Canada,"Total, building type",87.4,NA
2011-06,Canada,"Total, building type",87.5,NA
2011-07,Canada,"Total, building type",87.4,NA
2011-08,Canada,"Total, building type",87.6,NA
2011-09,Canada,"Total, building type",87.6,NA
2011-10,Canada,"Total, building type",87.7,NA
2011-11,Canada,"Total, building type",88.1,NA
2011-12,Canada,"Total, building type",88.1,NA
2012-01,Canada,"Total, building type",88.2,NA
2012-02,Canada,"Total, building type",88.2,NA
2012-03,Canada,"Total, building type",88.2,NA
2012-04,Canada,"Total, building type",88.2,NA
2012-05,Canada,"Total, building type",88.3,NA
2012-06,Canada,"Total, building type",88.2,NA
2012-07,Canada,"Total, building type",88.3,NA
2012-08,Canada,"Total, building type",88.3,NA
2012-09,Canada,"Total, building type",88.5,NA
2012-10,Canada,"Total, building type",88.7,NA
2012-11,Canada,"Total, building type",88.9,NA
2012-12,Canada,"Total, building type",89.5,NA
2013-01,Canada,"Total, building type",89.6,NA
2013-02,Canada,"Total, building type",89.5,NA
2013-03,Canada,"Total, building type",89.6,NA
2013-04,Canada,"Total, building type",89.6,NA
2013-05,Canada,"Total, building type",90,NA
2013-06,Canada,"Total, building type",90,NA
2013-07,Canada,"Total, building type",90.1,NA
2013-08,Canada,"Total, building type",90.3,NA
2013-09,Canada,"Total, building type",90.2,NA
2013-10,Canada,"Total, building type",90.5,NA
2013-11,Canada,"Total, building type",90.7,NA
2013-12,Canada,"Total, building type",91.2,NA
2014-01,Canada,"Total, building type",91.4,NA
2014-02,Canada,"Total, building type",91.4,NA
2014-03,Canada,"Total, building type",91.5,NA
2014-04,Canada,"Total, building type",91.7,NA
2014-05,Canada,"Total, building type",91.9,NA
2014-06,Canada,"Total, building type",91.9,NA
2014-07,Canada,"Total, building type",92.1,NA
2014-08,Canada,"Total, building type",92.1,NA
2014-09,Canada,"Total, building type",92.1,NA
2014-10,Canada,"Total, building type",92.6,NA
2014-11,Canada,"Total, building type",92.7,NA
2014-12,Canada,"Total, building type",93,NA
2015-01,Canada,"Total, building type",92.8,NA
2015-02,Canada,"Total, building type",92.9,NA
2015-03,Canada,"Total, building type",92.9,NA
2015-04,Canada,"Total, building type",93.1,NA
2015-05,Canada,"Total, building type",93.6,NA
2015-06,Canada,"Total, building type",93.9,NA
2015-07,Canada,"Total, building type",93.8,NA
2015-08,Canada,"Total, building type",94,NA
2015-09,Canada,"Total, building type",94,NA
2015-10,Canada,"Total, building type",94.5,NA
2015-11,Canada,"Total, building type",94.5,NA
2015-12,Canada,"Total, building type",94.8,NA
2016-01,Canada,"Total, building type",94.8,NA
2016-02,Canada,"Total, building type",94.7,NA
2016-03,Canada,"Total, building type",94.4,NA
2016-04,Canada,"Total, building type",94.6,NA
2016-05,Canada,"Total, building type",94.7,NA
2016-06,Canada,"Total, building type",94.7,NA
2016-07,Canada,"Total, building type",94.8,NA
2016-08,Canada,"Total, building type",95,NA
2016-09,Canada,"Total, building type",95.1,NA
2016-10,Canada,"Total, building type",95.2,NA
2016-11,Canada,"Total, building type",95.1,NA
2016-12,Canada,"Total, building type",95.3,NA
2017-01,Canada,"Total, building type",95,NA
2017-02,Canada,"Total, building type",94.9,NA
2017-03,Canada,"Total, building type",94.9,NA
2017-04,Canada,"Total, building type",95,NA
2017-05,Canada,"Total, building type",94.9,NA
2017-06,Canada,"Total, building type",95.1,NA
2017-07,Canada,"Total, building type",95.6,NA
