REF_DATE,GEO,Building Type,VALUE,STATUS
2006-01,Canada,"Total, building type",81,NA
2006-04,Canada,"Total, building type",81.7,NA
2006-07,Canada,"Total, building type",81.1,NA
2006-10,Canada,"Total, building type",81.5,NA
2007-01,Canada,"Total, building type",81.9,NA
2007-04,Canada,"Total, building type",81.3,NA
2007-07,Canada,"Total, building type",82.7,NA
2007-10,Canada,"Total, building type",82.5,NA
2008-01,Canada,"Total, building type",82.7,NA
2008-04,Canada,"Total, building type",82.1,NA
2008-07,Canada,"Total, building type",82.6,NA
2008-10,Canada,"Total, building type",83.9,NA
2009-01,Canada,"Total, building type",84.2,NA
2009-04,Canada,"Total, building type",85.1,NA
2009-07,Canada,"Total, building type",84.9,NA
2009-10,Canada,"Total, building type",85.3,NA
2010-01,Canada,"Total, building type",85.4,NA
2010-04,Canada,"Total, building type",85.7,NA
2010-07,Canada,"Total, building type",86,NA
2010-10,Canada,"Total, building type",87,NA
2011-01,Canada,"Total, building type",86.7,NA
2011-04,Canada,"Total, building type",87.4,NA
2011-07,Canada,"Total, building type",87.5,NA
2011-10,Canada,"Total, building type",88,NA
2012-01,Canada,"Total, building type",88.2,NA
2012-04,Canada,"Total, building type",88.2,NA
2012-07,Canada,"Total, building type",88.4,NA
2012-10,Canada,"Total, building type",89,NA
2013-01,Canada,"Total, building type",89.6,NA
2013-04,Canada,"Total, building type",89.8,NA
2013-07,Canada,"Total, building type",90.2,NA
2013-10,Canada,"Total, building type",90.8,NA
2014-01,Canada,"Total, building type",91.4,NA
2014-04,Canada,"Total, building type",91.8,NA
2014-07,Canada,"Total, building type",92.1,NA
2014-10,Canada,"Total, building type",92.8,NA
2015-01,Canada,"Total, building type",92.9,NA
2015-04,Canada,"Total, building type",93.5,NA
2015-07,Canada,"Total, building type",93.9,NA
2015-10,Canada,"Total, building type",94.6,NA
2016-01,Canada,"Total, building type",94.6,NA
2016-04,Canada,"Total, building type",94.7,NA
2016-07,Canada,"Total, building type",95,NA
2016-10,Canada,"Total, building type",95.2,NA
2017-01,Canada,"Total, building type",94.9,NA
2017-04,Canada,"Total, building type",95,NA
