REF_DATE,GEO,Index,VALUE,STATUS
1981-01,Canada,"Electric power selling price indexes, national total",31,NA
1981-01,Canada,Electric power selling price over 5000kw,31.1,NA
1981-01,Canada,Electric power selling price under 5000kw,30.8,NA
1981-01,Atlantic Region,Electric power selling price over 5000kw,38.2,NA
1981-01,Atlantic Region,Electric power selling price under 5000kw,45.2,NA
1981-01,Newfoundland and Labrador,Electric power selling price over 5000kw,44.1,NA
1981-01,Newfoundland and Labrador,Electric power selling price under 5000kw,46.2,NA
1981-01,Prince Edward Island,Electric power selling price under 5000kw,50.7,NA
1981-01,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1981-01,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1981-01,New Brunswick,Electric power selling price over 5000kw,40.6,NA
1981-01,New Brunswick,Electric power selling price under 5000kw,50,NA
1981-01,Quebec,Electric power selling price over 5000kw,37,NA
1981-01,Quebec,Electric power selling price under 5000kw,42.5,NA
1981-01,Ontario,Electric power selling price over 5000kw,30.4,NA
1981-01,Ontario,Electric power selling price under 5000kw,26.8,NA
1981-01,Prairie Region,Electric power selling price over 5000kw,21.7,NA
1981-01,Prairie Region,Electric power selling price under 5000kw,27.8,NA
1981-01,Manitoba,Electric power selling price over 5000kw,42.9,NA
1981-01,Manitoba,Electric power selling price under 5000kw,45,NA
1981-01,Saskatchewan,Electric power selling price over 5000kw,31.8,NA
1981-01,Saskatchewan,Electric power selling price under 5000kw,36.7,NA
1981-01,Alberta,Electric power selling price over 5000kw,13.2,NA
1981-01,Alberta,Electric power selling price under 5000kw,25.2,NA
1981-01,British Columbia,Electric power selling price over 5000kw,29,NA
1981-01,British Columbia,Electric power selling price under 5000kw,33.4,NA
1981-02,Canada,"Electric power selling price indexes, national total",31.3,NA
1981-02,Canada,Electric power selling price over 5000kw,31.1,NA
1981-02,Canada,Electric power selling price under 5000kw,31.1,NA
1981-02,Atlantic Region,Electric power selling price over 5000kw,38.2,NA
1981-02,Atlantic Region,Electric power selling price under 5000kw,45.5,NA
1981-02,Newfoundland and Labrador,Electric power selling price over 5000kw,44.3,NA
1981-02,Newfoundland and Labrador,Electric power selling price under 5000kw,46.5,NA
1981-02,Prince Edward Island,Electric power selling price under 5000kw,54,NA
1981-02,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1981-02,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1981-02,New Brunswick,Electric power selling price over 5000kw,40.6,NA
1981-02,New Brunswick,Electric power selling price under 5000kw,50,NA
1981-02,Quebec,Electric power selling price over 5000kw,37,NA
1981-02,Quebec,Electric power selling price under 5000kw,42.5,NA
1981-02,Ontario,Electric power selling price over 5000kw,30.6,NA
1981-02,Ontario,Electric power selling price under 5000kw,27.3,NA
1981-02,Prairie Region,Electric power selling price over 5000kw,21.7,NA
1981-02,Prairie Region,Electric power selling price under 5000kw,28,NA
1981-02,Manitoba,Electric power selling price over 5000kw,42.9,NA
1981-02,Manitoba,Electric power selling price under 5000kw,45,NA
1981-02,Saskatchewan,Electric power selling price over 5000kw,31.8,NA
1981-02,Saskatchewan,Electric power selling price under 5000kw,39.1,NA
1981-02,Alberta,Electric power selling price over 5000kw,13.2,NA
1981-02,Alberta,Electric power selling price under 5000kw,25.2,NA
1981-02,British Columbia,Electric power selling price over 5000kw,29,NA
1981-02,British Columbia,Electric power selling price under 5000kw,34.2,NA
1981-03,Canada,"Electric power selling price indexes, national total",31.3,NA
1981-03,Canada,Electric power selling price over 5000kw,31.1,NA
1981-03,Canada,Electric power selling price under 5000kw,31.1,NA
1981-03,Atlantic Region,Electric power selling price over 5000kw,38.4,NA
1981-03,Atlantic Region,Electric power selling price under 5000kw,45.5,NA
1981-03,Newfoundland and Labrador,Electric power selling price over 5000kw,45.2,NA
1981-03,Newfoundland and Labrador,Electric power selling price under 5000kw,47.1,NA
1981-03,Prince Edward Island,Electric power selling price under 5000kw,54.2,NA
1981-03,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1981-03,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1981-03,New Brunswick,Electric power selling price over 5000kw,40.6,NA
1981-03,New Brunswick,Electric power selling price under 5000kw,50,NA
1981-03,Quebec,Electric power selling price over 5000kw,37,NA
1981-03,Quebec,Electric power selling price under 5000kw,42.5,NA
1981-03,Ontario,Electric power selling price over 5000kw,30.6,NA
1981-03,Ontario,Electric power selling price under 5000kw,27.3,NA
1981-03,Prairie Region,Electric power selling price over 5000kw,21.7,NA
1981-03,Prairie Region,Electric power selling price under 5000kw,28,NA
1981-03,Manitoba,Electric power selling price over 5000kw,42.9,NA
1981-03,Manitoba,Electric power selling price under 5000kw,45,NA
1981-03,Saskatchewan,Electric power selling price over 5000kw,31.8,NA
1981-03,Saskatchewan,Electric power selling price under 5000kw,39.1,NA
1981-03,Alberta,Electric power selling price over 5000kw,13.2,NA
1981-03,Alberta,Electric power selling price under 5000kw,25.2,NA
1981-03,British Columbia,Electric power selling price over 5000kw,29,NA
1981-03,British Columbia,Electric power selling price under 5000kw,34.2,NA
1981-04,Canada,"Electric power selling price indexes, national total",31.2,NA
1981-04,Canada,Electric power selling price over 5000kw,31,NA
1981-04,Canada,Electric power selling price under 5000kw,31.1,NA
1981-04,Atlantic Region,Electric power selling price over 5000kw,38.3,NA
1981-04,Atlantic Region,Electric power selling price under 5000kw,45.1,NA
1981-04,Newfoundland and Labrador,Electric power selling price over 5000kw,44.6,NA
1981-04,Newfoundland and Labrador,Electric power selling price under 5000kw,47.9,NA
1981-04,Prince Edward Island,Electric power selling price under 5000kw,48.5,NA
1981-04,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1981-04,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1981-04,New Brunswick,Electric power selling price over 5000kw,40.6,NA
1981-04,New Brunswick,Electric power selling price under 5000kw,50,NA
1981-04,Quebec,Electric power selling price over 5000kw,37,NA
1981-04,Quebec,Electric power selling price under 5000kw,42.5,NA
1981-04,Ontario,Electric power selling price over 5000kw,30.6,NA
1981-04,Ontario,Electric power selling price under 5000kw,27.3,NA
1981-04,Prairie Region,Electric power selling price over 5000kw,21.1,NA
1981-04,Prairie Region,Electric power selling price under 5000kw,28.1,NA
1981-04,Manitoba,Electric power selling price over 5000kw,42.9,NA
1981-04,Manitoba,Electric power selling price under 5000kw,45,NA
1981-04,Saskatchewan,Electric power selling price over 5000kw,31.8,NA
1981-04,Saskatchewan,Electric power selling price under 5000kw,39.1,NA
1981-04,Alberta,Electric power selling price over 5000kw,12.2,NA
1981-04,Alberta,Electric power selling price under 5000kw,25.4,NA
1981-04,British Columbia,Electric power selling price over 5000kw,29,NA
1981-04,British Columbia,Electric power selling price under 5000kw,34.2,NA
1981-05,Canada,"Electric power selling price indexes, national total",31.4,NA
1981-05,Canada,Electric power selling price over 5000kw,31.2,NA
1981-05,Canada,Electric power selling price under 5000kw,31.3,NA
1981-05,Atlantic Region,Electric power selling price over 5000kw,40.5,NA
1981-05,Atlantic Region,Electric power selling price under 5000kw,49.7,NA
1981-05,Newfoundland and Labrador,Electric power selling price over 5000kw,44,NA
1981-05,Newfoundland and Labrador,Electric power selling price under 5000kw,46.6,NA
1981-05,Prince Edward Island,Electric power selling price under 5000kw,57.2,NA
1981-05,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1981-05,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1981-05,New Brunswick,Electric power selling price over 5000kw,44.9,NA
1981-05,New Brunswick,Electric power selling price under 5000kw,55.3,NA
1981-05,Quebec,Electric power selling price over 5000kw,37,NA
1981-05,Quebec,Electric power selling price under 5000kw,42.5,NA
1981-05,Ontario,Electric power selling price over 5000kw,30.6,NA
1981-05,Ontario,Electric power selling price under 5000kw,27.3,NA
1981-05,Prairie Region,Electric power selling price over 5000kw,21.1,NA
1981-05,Prairie Region,Electric power selling price under 5000kw,28.1,NA
1981-05,Manitoba,Electric power selling price over 5000kw,42.9,NA
1981-05,Manitoba,Electric power selling price under 5000kw,45,NA
1981-05,Saskatchewan,Electric power selling price over 5000kw,31.8,NA
1981-05,Saskatchewan,Electric power selling price under 5000kw,39.1,NA
1981-05,Alberta,Electric power selling price over 5000kw,12.2,NA
1981-05,Alberta,Electric power selling price under 5000kw,25.4,NA
1981-05,British Columbia,Electric power selling price over 5000kw,29,NA
1981-05,British Columbia,Electric power selling price under 5000kw,34.2,NA
1981-06,Canada,"Electric power selling price indexes, national total",31.4,NA
1981-06,Canada,Electric power selling price over 5000kw,31.2,NA
1981-06,Canada,Electric power selling price under 5000kw,31.3,NA
1981-06,Atlantic Region,Electric power selling price over 5000kw,40.5,NA
1981-06,Atlantic Region,Electric power selling price under 5000kw,49.4,NA
1981-06,Newfoundland and Labrador,Electric power selling price over 5000kw,44.1,NA
1981-06,Newfoundland and Labrador,Electric power selling price under 5000kw,46.3,NA
1981-06,Prince Edward Island,Electric power selling price under 5000kw,54,NA
1981-06,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1981-06,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1981-06,New Brunswick,Electric power selling price over 5000kw,44.9,NA
1981-06,New Brunswick,Electric power selling price under 5000kw,55.3,NA
1981-06,Quebec,Electric power selling price over 5000kw,37,NA
1981-06,Quebec,Electric power selling price under 5000kw,42.5,NA
1981-06,Ontario,Electric power selling price over 5000kw,30.6,NA
1981-06,Ontario,Electric power selling price under 5000kw,27.3,NA
1981-06,Prairie Region,Electric power selling price over 5000kw,21.1,NA
1981-06,Prairie Region,Electric power selling price under 5000kw,28.1,NA
1981-06,Manitoba,Electric power selling price over 5000kw,42.9,NA
1981-06,Manitoba,Electric power selling price under 5000kw,45,NA
1981-06,Saskatchewan,Electric power selling price over 5000kw,31.8,NA
1981-06,Saskatchewan,Electric power selling price under 5000kw,39.1,NA
1981-06,Alberta,Electric power selling price over 5000kw,12.2,NA
1981-06,Alberta,Electric power selling price under 5000kw,25.4,NA
1981-06,British Columbia,Electric power selling price over 5000kw,29,NA
1981-06,British Columbia,Electric power selling price under 5000kw,34.2,NA
1981-07,Canada,"Electric power selling price indexes, national total",31.4,NA
1981-07,Canada,Electric power selling price over 5000kw,31.2,NA
1981-07,Canada,Electric power selling price under 5000kw,31.4,NA
1981-07,Atlantic Region,Electric power selling price over 5000kw,40.6,NA
1981-07,Atlantic Region,Electric power selling price under 5000kw,49.5,NA
1981-07,Newfoundland and Labrador,Electric power selling price over 5000kw,44.6,NA
1981-07,Newfoundland and Labrador,Electric power selling price under 5000kw,46.3,NA
1981-07,Prince Edward Island,Electric power selling price under 5000kw,55.9,NA
1981-07,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1981-07,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1981-07,New Brunswick,Electric power selling price over 5000kw,44.9,NA
1981-07,New Brunswick,Electric power selling price under 5000kw,55.3,NA
1981-07,Quebec,Electric power selling price over 5000kw,37,NA
1981-07,Quebec,Electric power selling price under 5000kw,42.5,NA
1981-07,Ontario,Electric power selling price over 5000kw,30.6,NA
1981-07,Ontario,Electric power selling price under 5000kw,27.4,NA
1981-07,Prairie Region,Electric power selling price over 5000kw,21.1,NA
1981-07,Prairie Region,Electric power selling price under 5000kw,28.1,NA
1981-07,Manitoba,Electric power selling price over 5000kw,42.9,NA
1981-07,Manitoba,Electric power selling price under 5000kw,45,NA
1981-07,Saskatchewan,Electric power selling price over 5000kw,31.8,NA
1981-07,Saskatchewan,Electric power selling price under 5000kw,39.1,NA
1981-07,Alberta,Electric power selling price over 5000kw,12.2,NA
1981-07,Alberta,Electric power selling price under 5000kw,25.4,NA
1981-07,British Columbia,Electric power selling price over 5000kw,29,NA
1981-07,British Columbia,Electric power selling price under 5000kw,34.2,NA
1981-08,Canada,"Electric power selling price indexes, national total",31.4,NA
1981-08,Canada,Electric power selling price over 5000kw,31.4,NA
1981-08,Canada,Electric power selling price under 5000kw,31.4,NA
1981-08,Atlantic Region,Electric power selling price over 5000kw,40.8,NA
1981-08,Atlantic Region,Electric power selling price under 5000kw,49.4,NA
1981-08,Newfoundland and Labrador,Electric power selling price over 5000kw,46.2,NA
1981-08,Newfoundland and Labrador,Electric power selling price under 5000kw,46.7,NA
1981-08,Prince Edward Island,Electric power selling price under 5000kw,54.2,NA
1981-08,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1981-08,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1981-08,New Brunswick,Electric power selling price over 5000kw,44.9,NA
1981-08,New Brunswick,Electric power selling price under 5000kw,55.3,NA
1981-08,Quebec,Electric power selling price over 5000kw,37,NA
1981-08,Quebec,Electric power selling price under 5000kw,42.5,NA
1981-08,Ontario,Electric power selling price over 5000kw,30.6,NA
1981-08,Ontario,Electric power selling price under 5000kw,27.4,NA
1981-08,Prairie Region,Electric power selling price over 5000kw,21.9,NA
1981-08,Prairie Region,Electric power selling price under 5000kw,28.1,NA
1981-08,Manitoba,Electric power selling price over 5000kw,42.9,NA
1981-08,Manitoba,Electric power selling price under 5000kw,45,NA
1981-08,Saskatchewan,Electric power selling price over 5000kw,34.9,NA
1981-08,Saskatchewan,Electric power selling price under 5000kw,39.1,NA
1981-08,Alberta,Electric power selling price over 5000kw,12.2,NA
1981-08,Alberta,Electric power selling price under 5000kw,25.4,NA
1981-08,British Columbia,Electric power selling price over 5000kw,29,NA
1981-08,British Columbia,Electric power selling price under 5000kw,34.2,NA
1981-09,Canada,"Electric power selling price indexes, national total",31.4,NA
1981-09,Canada,Electric power selling price over 5000kw,31.4,NA
1981-09,Canada,Electric power selling price under 5000kw,31.4,NA
1981-09,Atlantic Region,Electric power selling price over 5000kw,40.9,NA
1981-09,Atlantic Region,Electric power selling price under 5000kw,49.6,NA
1981-09,Newfoundland and Labrador,Electric power selling price over 5000kw,47,NA
1981-09,Newfoundland and Labrador,Electric power selling price under 5000kw,48.6,NA
1981-09,Prince Edward Island,Electric power selling price under 5000kw,54.5,NA
1981-09,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1981-09,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1981-09,New Brunswick,Electric power selling price over 5000kw,44.9,NA
1981-09,New Brunswick,Electric power selling price under 5000kw,55.3,NA
1981-09,Quebec,Electric power selling price over 5000kw,37,NA
1981-09,Quebec,Electric power selling price under 5000kw,42.5,NA
1981-09,Ontario,Electric power selling price over 5000kw,30.6,NA
1981-09,Ontario,Electric power selling price under 5000kw,27.4,NA
1981-09,Prairie Region,Electric power selling price over 5000kw,21.9,NA
1981-09,Prairie Region,Electric power selling price under 5000kw,28.1,NA
1981-09,Manitoba,Electric power selling price over 5000kw,42.9,NA
1981-09,Manitoba,Electric power selling price under 5000kw,45,NA
1981-09,Saskatchewan,Electric power selling price over 5000kw,34.9,NA
1981-09,Saskatchewan,Electric power selling price under 5000kw,39.1,NA
1981-09,Alberta,Electric power selling price over 5000kw,12.2,NA
1981-09,Alberta,Electric power selling price under 5000kw,25.4,NA
1981-09,British Columbia,Electric power selling price over 5000kw,29,NA
1981-09,British Columbia,Electric power selling price under 5000kw,34.2,NA
1981-10,Canada,"Electric power selling price indexes, national total",31.8,NA
1981-10,Canada,Electric power selling price over 5000kw,31.6,NA
1981-10,Canada,Electric power selling price under 5000kw,31.9,NA
1981-10,Atlantic Region,Electric power selling price over 5000kw,40.6,NA
1981-10,Atlantic Region,Electric power selling price under 5000kw,50.5,NA
1981-10,Newfoundland and Labrador,Electric power selling price over 5000kw,44.7,NA
1981-10,Newfoundland and Labrador,Electric power selling price under 5000kw,49.7,NA
1981-10,Prince Edward Island,Electric power selling price under 5000kw,63.1,NA
1981-10,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1981-10,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1981-10,New Brunswick,Electric power selling price over 5000kw,44.9,NA
1981-10,New Brunswick,Electric power selling price under 5000kw,55.3,NA
1981-10,Quebec,Electric power selling price over 5000kw,37,NA
1981-10,Quebec,Electric power selling price under 5000kw,42.5,NA
1981-10,Ontario,Electric power selling price over 5000kw,30.6,NA
1981-10,Ontario,Electric power selling price under 5000kw,27.4,NA
1981-10,Prairie Region,Electric power selling price over 5000kw,22.9,NA
1981-10,Prairie Region,Electric power selling price under 5000kw,30.1,NA
1981-10,Manitoba,Electric power selling price over 5000kw,42.9,NA
1981-10,Manitoba,Electric power selling price under 5000kw,45,NA
1981-10,Saskatchewan,Electric power selling price over 5000kw,34.9,NA
1981-10,Saskatchewan,Electric power selling price under 5000kw,39.1,NA
1981-10,Alberta,Electric power selling price over 5000kw,14,NA
1981-10,Alberta,Electric power selling price under 5000kw,28,NA
1981-10,British Columbia,Electric power selling price over 5000kw,29,NA
1981-10,British Columbia,Electric power selling price under 5000kw,34.2,NA
1981-11,Canada,"Electric power selling price indexes, national total",31.9,NA
1981-11,Canada,Electric power selling price over 5000kw,31.6,NA
1981-11,Canada,Electric power selling price under 5000kw,31.9,NA
1981-11,Atlantic Region,Electric power selling price over 5000kw,40.7,NA
1981-11,Atlantic Region,Electric power selling price under 5000kw,51.1,NA
1981-11,Newfoundland and Labrador,Electric power selling price over 5000kw,45.5,NA
1981-11,Newfoundland and Labrador,Electric power selling price under 5000kw,47.6,NA
1981-11,Prince Edward Island,Electric power selling price under 5000kw,71.1,NA
1981-11,Nova Scotia,Electric power selling price over 5000kw,37.1,NA
1981-11,Nova Scotia,Electric power selling price under 5000kw,48.1,NA
1981-11,New Brunswick,Electric power selling price over 5000kw,44.9,NA
1981-11,New Brunswick,Electric power selling price under 5000kw,55.3,NA
1981-11,Quebec,Electric power selling price over 5000kw,37,NA
1981-11,Quebec,Electric power selling price under 5000kw,42.5,NA
1981-11,Ontario,Electric power selling price over 5000kw,30.6,NA
1981-11,Ontario,Electric power selling price under 5000kw,27.4,NA
1981-11,Prairie Region,Electric power selling price over 5000kw,22.9,NA
1981-11,Prairie Region,Electric power selling price under 5000kw,30.1,NA
1981-11,Manitoba,Electric power selling price over 5000kw,42.9,NA
