REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2007-01,Canada,Truck transportation [484],90.4,NA,[484]
2007-01,Canada,General freight trucking [4841],89.7,NA,[4841]
2007-01,Canada,"General freight trucking, local [48411]",87.1,NA,[48411]
2007-01,Canada,"General freight trucking, long distance [48412]",90.5,NA,[48412]
2007-01,Canada,Specialized freight trucking [4842],91.5,NA,[4842]
2007-01,Canada,Used household and office goods moving [48421],87.8,NA,[48421]
2007-01,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.9,NA,[48422]
2007-01,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",88.6,NA,[48423]
2007-02,Canada,Truck transportation [484],90.1,NA,[484]
2007-02,Canada,General freight trucking [4841],89.3,NA,[4841]
2007-02,Canada,"General freight trucking, local [48411]",86.3,NA,[48411]
2007-02,Canada,"General freight trucking, long distance [48412]",90.3,NA,[48412]
2007-02,Canada,Specialized freight trucking [4842],91.3,NA,[4842]
2007-02,Canada,Used household and office goods moving [48421],88,NA,[48421]
2007-02,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.8,NA,[48422]
2007-02,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",88.4,NA,[48423]
2007-03,Canada,Truck transportation [484],90.4,NA,[484]
2007-03,Canada,General freight trucking [4841],89.5,NA,[4841]
2007-03,Canada,"General freight trucking, local [48411]",85.4,NA,[48411]
2007-03,Canada,"General freight trucking, long distance [48412]",90.8,NA,[48412]
2007-03,Canada,Specialized freight trucking [4842],91.6,NA,[4842]
2007-03,Canada,Used household and office goods moving [48421],88,NA,[48421]
2007-03,Canada,"Specialized freight (except used goods) trucking, local [48422]",97,NA,[48422]
2007-03,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",88.7,NA,[48423]
2007-04,Canada,Truck transportation [484],90.6,NA,[484]
2007-04,Canada,General freight trucking [4841],89.8,NA,[4841]
2007-04,Canada,"General freight trucking, local [48411]",86.2,NA,[48411]
2007-04,Canada,"General freight trucking, long distance [48412]",90.9,NA,[48412]
2007-04,Canada,Specialized freight trucking [4842],91.8,NA,[4842]
