REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2007-01,Canada,Truck transportation [484],90.3,NA,[484]
2007-01,Canada,General freight trucking [4841],89.5,NA,[4841]
2007-01,Canada,"General freight trucking, local [48411]",86.3,NA,[48411]
2007-01,Canada,"General freight trucking, long distance [48412]",90.5,NA,[48412]
2007-01,Canada,Specialized freight trucking [4842],91.5,NA,[4842]
2007-01,Canada,Used household and office goods moving [48421],87.9,NA,[48421]
2007-01,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.9,NA,[48422]
2007-01,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",88.6,NA,[48423]
2007-04,Canada,Truck transportation [484],90.5,NA,[484]
2007-04,Canada,General freight trucking [4841],89.5,NA,[4841]
2007-04,Canada,"General freight trucking, local [48411]",86.2,NA,[48411]
2007-04,Canada,"General freight trucking, long distance [48412]",90.6,NA,[48412]
2007-04,Canada,Specialized freight trucking [4842],91.8,NA,[4842]
2007-04,Canada,Used household and office goods moving [48421],88.9,NA,[48421]
2007-04,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.7,NA,[48422]
2007-04,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.1,NA,[48423]
2007-07,Canada,Truck transportation [484],90.9,NA,[484]
2007-07,Canada,General freight trucking [4841],90,NA,[4841]
2007-07,Canada,"General freight trucking, local [48411]",86.8,NA,[48411]
2007-07,Canada,"General freight trucking, long distance [48412]",91,NA,[48412]
2007-07,Canada,Specialized freight trucking [4842],92.2,NA,[4842]
2007-07,Canada,Used household and office goods moving [48421],92.8,NA,[48421]
2007-07,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.7,NA,[48422]
2007-07,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",89.3,NA,[48423]
2007-10,Canada,Truck transportation [484],91.9,NA,[484]
2007-10,Canada,General freight trucking [4841],91.4,NA,[4841]
2007-10,Canada,"General freight trucking, local [48411]",88.5,NA,[48411]
2007-10,Canada,"General freight trucking, long distance [48412]",92.4,NA,[48412]
2007-10,Canada,Specialized freight trucking [4842],92.6,NA,[4842]
2007-10,Canada,Used household and office goods moving [48421],90.8,NA,[48421]
2007-10,Canada,"Specialized freight (except used goods) trucking, local [48422]",96.1,NA,[48422]
2007-10,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",90.7,NA,[48423]
2008-01,Canada,Truck transportation [484],94.8,NA,[484]
2008-01,Canada,General freight trucking [4841],94.6,NA,[4841]
2008-01,Canada,"General freight trucking, local [48411]",92.4,NA,[48411]
2008-01,Canada,"General freight trucking, long distance [48412]",95.3,NA,[48412]
2008-01,Canada,Specialized freight trucking [4842],95,NA,[4842]
2008-01,Canada,Used household and office goods moving [48421],92.3,NA,[48421]
2008-01,Canada,"Specialized freight (except used goods) trucking, local [48422]",97.2,NA,[48422]
2008-01,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",94.1,NA,[48423]
2008-04,Canada,Truck transportation [484],99,NA,[484]
2008-04,Canada,General freight trucking [4841],98.9,NA,[4841]
2008-04,Canada,"General freight trucking, local [48411]",96.7,NA,[48411]
2008-04,Canada,"General freight trucking, long distance [48412]",99.6,NA,[48412]
2008-04,Canada,Specialized freight trucking [4842],99,NA,[4842]
2008-04,Canada,Used household and office goods moving [48421],93.4,NA,[48421]
2008-04,Canada,"Specialized freight (except used goods) trucking, local [48422]",100.1,NA,[48422]
2008-04,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",99.2,NA,[48423]
2008-07,Canada,Truck transportation [484],100.8,NA,[484]
2008-07,Canada,General freight trucking [4841],100.1,NA,[4841]
2008-07,Canada,"General freight trucking, local [48411]",97.1,NA,[48411]
2008-07,Canada,"General freight trucking, long distance [48412]",101,NA,[48412]
2008-07,Canada,Specialized freight trucking [4842],101.8,NA,[4842]
2008-07,Canada,Used household and office goods moving [48421],98.3,NA,[48421]
2008-07,Canada,"Specialized freight (except used goods) trucking, local [48422]",103.4,NA,[48422]
2008-07,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",101.3,NA,[48423]
2008-10,Canada,Truck transportation [484],95.7,NA,[484]
2008-10,Canada,General freight trucking [4841],94.5,NA,[4841]
2008-10,Canada,"General freight trucking, local [48411]",90.7,NA,[48411]
2008-10,Canada,"General freight trucking, long distance [48412]",95.8,NA,[48412]
2008-10,Canada,Specialized freight trucking [4842],97.2,NA,[4842]
2008-10,Canada,Used household and office goods moving [48421],94.1,NA,[48421]
2008-10,Canada,"Specialized freight (except used goods) trucking, local [48422]",99.1,NA,[48422]
2008-10,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",96.5,NA,[48423]
2009-01,Canada,Truck transportation [484],90.9,NA,[484]
2009-01,Canada,General freight trucking [4841],89.8,NA,[4841]
2009-01,Canada,"General freight trucking, local [48411]",85.5,NA,[48411]
2009-01,Canada,"General freight trucking, long distance [48412]",91.2,NA,[48412]
2009-01,Canada,Specialized freight trucking [4842],92.5,NA,[4842]
2009-01,Canada,Used household and office goods moving [48421],91.3,NA,[48421]
2009-01,Canada,"Specialized freight (except used goods) trucking, local [48422]",95.9,NA,[48422]
2009-01,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",90.5,NA,[48423]
2009-04,Canada,Truck transportation [484],89.8,NA,[484]
2009-04,Canada,General freight trucking [4841],88.5,NA,[4841]
2009-04,Canada,"General freight trucking, local [48411]",83.6,NA,[48411]
2009-04,Canada,"General freight trucking, long distance [48412]",90.1,NA,[48412]
2009-04,Canada,Specialized freight trucking [4842],91.5,NA,[4842]
2009-04,Canada,Used household and office goods moving [48421],94.8,NA,[48421]
2009-04,Canada,"Specialized freight (except used goods) trucking, local [48422]",94.9,NA,[48422]
2009-04,Canada,"Specialized freight (except used goods) trucking, long distance [48423]",88.8,NA,[48423]
2009-07,Canada,Truck transportation [484],90.6,NA,[484]
