REF_DATE,GEO,Price index,VALUE,STATUS
2002-01,Canada,Farm input total,68.7,NA
2002-01,Canada,Buildings,71.5,NA
2002-01,Canada,Machinery and motor vehicles,66.1,NA
2002-01,Canada,Depreciation on machinery and motor vehicles,93.1,NA
2002-01,Canada,Depreciation on machinery,89,NA
2002-01,Canada,Depreciation on motor vehicles,110.9,NA
2002-01,Canada,Machinery fuel,37.2,NA
2002-01,Canada,Machine repairs,82.4,NA
2002-01,Canada,General business costs,69.8,NA
2002-01,Canada,Crop production,60.4,NA
2002-01,Canada,Commercial seed and plant,67.4,NA
2002-01,Canada,Fertilizer,45.5,NA
2002-01,Canada,Nitrogen fertilizers,45.3,NA
2002-01,Canada,Other fertilizers,46,NA
2002-01,Canada,Pesticides,89.8,NA
2002-01,Canada,"Twine, wire and containers",84.4,NA
2002-01,Canada,Production insurance,34.1,NA
2002-01,Canada,Stabilization premiums,69.3,NA
2002-01,Canada,Animal production,76.4,NA
2002-01,Canada,Livestock purchases,88.3,NA
2002-01,Canada,Cattle,86.9,NA
2002-01,Canada,Hogs,99.1,NA
2002-01,Canada,Commercial feed,70.2,NA
2002-01,Canada,Prepared feed,71.7,NA
2002-01,Canada,Grain feed,65.5,NA
2002-01,Eastern Canada,Farm input total,70.4,NA
2002-01,Eastern Canada,Buildings,73.3,NA
2002-01,Eastern Canada,Machinery and motor vehicles,66.6,NA
2002-01,Eastern Canada,Depreciation on machinery and motor vehicles,91.4,NA
2002-01,Eastern Canada,Depreciation on machinery,88.9,NA
2002-01,Eastern Canada,Depreciation on motor vehicles,109.2,NA
2002-01,Eastern Canada,Machinery fuel,37,NA
2002-01,Eastern Canada,Machine repairs,82.3,NA
2002-01,Eastern Canada,General business costs,75.7,NA
2002-01,Eastern Canada,Crop production,65,NA
2002-01,Eastern Canada,Commercial seed and plant,69.7,NA
2002-01,Eastern Canada,Fertilizer,44.4,NA
2002-01,Eastern Canada,Nitrogen fertilizers,48.6,NA
2002-01,Eastern Canada,Production insurance,59.7,NA
2002-01,Eastern Canada,Stabilization premiums,69.3,NA
2002-01,Eastern Canada,Animal production,73.2,NA
2002-01,Eastern Canada,Livestock purchases,89.2,NA
2002-01,Eastern Canada,Cattle,87.3,NA
2002-01,Eastern Canada,Hogs,98.3,NA
2002-01,Eastern Canada,Commercial feed,66.3,NA
2002-01,Eastern Canada,Prepared feed,69.2,NA
2002-01,Eastern Canada,Grain feed,52.9,NA
