REF_DATE,GEO,Commodity,"Machinery and equipment, domestic and imported",VALUE,STATUS
1997-01,Canada,Carpets and rugs,Total domestic and imported,101.3,NA
1997-01,Canada,Carpets and rugs,Domestic,100.2,NA
1997-01,Canada,Carpets and rugs,Imported,100.9,NA
1997-01,Canada,Wood containers and pallets,Imported,121.3,NA
1997-01,Canada,Prefabricated wood buildings and components,Total domestic and imported,59.6,NA
1997-01,Canada,Prefabricated wood buildings and components,Domestic,59,NA
1997-01,Canada,Prefabricated wood buildings and components,Imported,89.1,NA
1997-01,Canada,Springs and wire products,Total domestic and imported,87.1,NA
1997-01,Canada,Springs and wire products,Domestic,83.5,NA
1997-01,Canada,Springs and wire products,Imported,91,NA
1997-01,Canada,Computers and computer peripheral equipment,Imported,309.2,NA
1997-01,Canada,Telephone apparatus,Imported,150.4,NA
1997-01,Canada,Transformers,Total domestic and imported,77.5,NA
1997-01,Canada,Transformers,Domestic,78.9,NA
1997-01,Canada,Transformers,Imported,76.9,NA
1997-01,Canada,Electric motors and generators,Total domestic and imported,97.2,NA
1997-01,Canada,Electric motors and generators,Domestic,61.7,NA
1997-01,Canada,Electric motors and generators,Imported,98,NA
1997-01,Canada,"Switchgear, switchboard, relays and industrial control apparatus",Total domestic and imported,87.5,NA
1997-01,Canada,"Switchgear, switchboard, relays and industrial control apparatus",Domestic,80.2,NA
1997-01,Canada,"Switchgear, switchboard, relays and industrial control apparatus",Imported,88.8,NA
1997-01,Canada,Wiring devices,Total domestic and imported,80.4,NA
1997-01,Canada,Wiring devices,Domestic,85.8,NA
1997-01,Canada,Wiring devices,Imported,79.5,NA
1997-01,Canada,Passenger cars,Total domestic and imported,134.5,NA
1997-01,Canada,Passenger cars,Domestic,107.3,NA
1997-01,Canada,Passenger cars,Imported,139.7,NA
1997-01,Canada,Buses,Total domestic and imported,78.1,NA
1997-01,Canada,Buses,Domestic,85.7,NA
1997-01,Canada,Buses,Imported,76.2,NA
1997-01,Canada,Aircraft parts and equipment,Total domestic and imported,95.8,NA
1997-01,Canada,Aircraft parts and equipment,Domestic,82.8,NA
1997-01,Canada,Aircraft parts and equipment,Imported,107.4,NA
1997-01,Canada,Railroad rolling stocks,Imported,98,NA
1997-01,Canada,Ships,Imported,91.1,NA
1997-01,Canada,Sporting and athletic goods,Total domestic and imported,108.2,NA
1997-01,Canada,Sporting and athletic goods,Domestic,87,NA
1997-01,Canada,Sporting and athletic goods,Imported,123.3,NA
1997-01,Canada,Signs,Imported,107.2,NA
1997-04,Canada,Carpets and rugs,Total domestic and imported,101.2,NA
1997-04,Canada,Carpets and rugs,Domestic,99.3,NA
1997-04,Canada,Carpets and rugs,Imported,101.7,NA
1997-04,Canada,Wood containers and pallets,Imported,125.4,NA
1997-04,Canada,Prefabricated wood buildings and components,Total domestic and imported,59.6,NA
1997-04,Canada,Prefabricated wood buildings and components,Domestic,59,NA
1997-04,Canada,Prefabricated wood buildings and components,Imported,91.9,NA
1997-04,Canada,Springs and wire products,Total domestic and imported,87.9,NA
1997-04,Canada,Springs and wire products,Domestic,83.5,NA
1997-04,Canada,Springs and wire products,Imported,93.1,NA
1997-04,Canada,Computers and computer peripheral equipment,Imported,306.2,NA
1997-04,Canada,Telephone apparatus,Imported,153.4,NA
1997-04,Canada,Transformers,Total domestic and imported,79.4,NA
1997-04,Canada,Transformers,Domestic,79.7,NA
1997-04,Canada,Transformers,Imported,79.1,NA
1997-04,Canada,Electric motors and generators,Total domestic and imported,99.9,NA
1997-04,Canada,Electric motors and generators,Domestic,61.8,NA
1997-04,Canada,Electric motors and generators,Imported,100.7,NA
1997-04,Canada,"Switchgear, switchboard, relays and industrial control apparatus",Total domestic and imported,90.1,NA
1997-04,Canada,"Switchgear, switchboard, relays and industrial control apparatus",Domestic,80.8,NA
1997-04,Canada,"Switchgear, switchboard, relays and industrial control apparatus",Imported,91.7,NA
1997-04,Canada,Wiring devices,Total domestic and imported,82.8,NA
1997-04,Canada,Wiring devices,Domestic,85.5,NA
1997-04,Canada,Wiring devices,Imported,83,NA
1997-04,Canada,Passenger cars,Total domestic and imported,134.8,NA
1997-04,Canada,Passenger cars,Domestic,107.1,NA
1997-04,Canada,Passenger cars,Imported,140.1,NA
1997-04,Canada,Buses,Total domestic and imported,80,NA
1997-04,Canada,Buses,Domestic,86.3,NA
1997-04,Canada,Buses,Imported,78.2,NA
1997-04,Canada,Aircraft parts and equipment,Total domestic and imported,97.4,NA
1997-04,Canada,Aircraft parts and equipment,Domestic,83,NA
1997-04,Canada,Aircraft parts and equipment,Imported,110.3,NA
1997-04,Canada,Railroad rolling stocks,Imported,98.4,NA
1997-04,Canada,Ships,Imported,93.4,NA
1997-04,Canada,Sporting and athletic goods,Total domestic and imported,110.8,NA
1997-04,Canada,Sporting and athletic goods,Domestic,87.5,NA
1997-04,Canada,Sporting and athletic goods,Imported,127.5,NA
1997-04,Canada,Signs,Imported,110.1,NA
1997-07,Canada,Carpets and rugs,Total domestic and imported,102.5,NA
1997-07,Canada,Carpets and rugs,Domestic,100.3,NA
1997-07,Canada,Carpets and rugs,Imported,103.3,NA
1997-07,Canada,Wood containers and pallets,Imported,128.1,NA
1997-07,Canada,Prefabricated wood buildings and components,Total domestic and imported,59.6,NA
1997-07,Canada,Prefabricated wood buildings and components,Domestic,59,NA
1997-07,Canada,Prefabricated wood buildings and components,Imported,92.2,NA
1997-07,Canada,Springs and wire products,Total domestic and imported,88.1,NA
1997-07,Canada,Springs and wire products,Domestic,83.5,NA
1997-07,Canada,Springs and wire products,Imported,93.6,NA
1997-07,Canada,Computers and computer peripheral equipment,Imported,296.5,NA
1997-07,Canada,Telephone apparatus,Imported,155.4,NA
1997-07,Canada,Transformers,Total domestic and imported,79.5,NA
1997-07,Canada,Transformers,Domestic,79.7,NA
1997-07,Canada,Transformers,Imported,79.2,NA
1997-07,Canada,Electric motors and generators,Total domestic and imported,99.8,NA
1997-07,Canada,Electric motors and generators,Domestic,62.9,NA
1997-07,Canada,Electric motors and generators,Imported,100.6,NA
1997-07,Canada,"Switchgear, switchboard, relays and industrial control apparatus",Total domestic and imported,90.4,NA
1997-07,Canada,"Switchgear, switchboard, relays and industrial control apparatus",Domestic,81.1,NA
1997-07,Canada,"Switchgear, switchboard, relays and industrial control apparatus",Imported,92,NA
1997-07,Canada,Wiring devices,Total domestic and imported,82.9,NA
1997-07,Canada,Wiring devices,Domestic,85.5,NA
1997-07,Canada,Wiring devices,Imported,83.2,NA
1997-07,Canada,Passenger cars,Total domestic and imported,130.8,NA
1997-07,Canada,Passenger cars,Domestic,106.2,NA
1997-07,Canada,Passenger cars,Imported,135.5,NA
