REF_DATE,GEO,New housing price indexes,VALUE,STATUS
1981-01,Canada,Total (house and land),38.2,NA
1981-01,Canada,House only,36.1,NA
1981-01,Canada,Land only,40.6,NA
1981-01,"St. John's, Newfoundland and Labrador",Total (house and land),36.1,NA
1981-01,"St. John's, Newfoundland and Labrador",House only,37.5,NA
1981-01,"St. John's, Newfoundland and Labrador",Land only,31.4,NA
1981-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),55.9,NA
1981-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,61.4,NA
1981-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38,NA
1981-01,"Québec, Quebec",Total (house and land),30.1,NA
1981-01,"Québec, Quebec",House only,34.9,NA
1981-01,"Québec, Quebec",Land only,19.8,NA
1981-01,"Montréal, Quebec",Total (house and land),28.5,NA
1981-01,"Montréal, Quebec",House only,30,NA
1981-01,"Montréal, Quebec",Land only,20.3,NA
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),32.6,NA
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,30.8,NA
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,39.9,NA
1981-01,"Toronto, Ontario",Total (house and land),28,NA
1981-01,"Toronto, Ontario",House only,22.6,NA
1981-01,"Toronto, Ontario",Land only,39.1,NA
1981-01,"Hamilton, Ontario",Total (house and land),30.3,NA
1981-01,"Hamilton, Ontario",House only,24.8,NA
1981-01,"Hamilton, Ontario",Land only,46,NA
1981-01,"St. Catharines-Niagara, Ontario",Total (house and land),30.6,NA
1981-01,"St. Catharines-Niagara, Ontario",House only,28.3,NA
1981-01,"St. Catharines-Niagara, Ontario",Land only,35.6,NA
1981-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34,NA
1981-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,30.4,NA
1981-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.4,NA
1981-01,"London, Ontario",Total (house and land),31.8,NA
1981-01,"London, Ontario",House only,27,NA
1981-01,"London, Ontario",Land only,51,NA
1981-01,"Windsor, Ontario",Total (house and land),61.2,NA
1981-01,"Windsor, Ontario",House only,64.9,NA
1981-01,"Windsor, Ontario",Land only,47.5,NA
1981-01,"Greater Sudbury, Ontario",Total (house and land),54.7,NA
1981-01,"Greater Sudbury, Ontario",House only,54.6,NA
1981-01,"Greater Sudbury, Ontario",Land only,51.4,NA
1981-01,"Winnipeg, Manitoba",Total (house and land),26.6,NA
1981-01,"Winnipeg, Manitoba",House only,29.3,NA
1981-01,"Winnipeg, Manitoba",Land only,18.7,NA
1981-01,"Regina, Saskatchewan",Total (house and land),19.8,NA
1981-01,"Regina, Saskatchewan",House only,20.7,NA
1981-01,"Regina, Saskatchewan",Land only,16.7,NA
1981-01,"Saskatoon, Saskatchewan",Total (house and land),33,NA
1981-01,"Saskatoon, Saskatchewan",House only,35.8,NA
1981-01,"Saskatoon, Saskatchewan",Land only,26,NA
1981-01,"Calgary, Alberta",Total (house and land),25.3,NA
1981-01,"Calgary, Alberta",House only,27.8,NA
1981-01,"Calgary, Alberta",Land only,19.4,NA
1981-01,"Edmonton, Alberta",Total (house and land),35.8,NA
1981-01,"Edmonton, Alberta",House only,36.5,NA
1981-01,"Edmonton, Alberta",Land only,32.7,NA
1981-01,"Vancouver, British Columbia",Total (house and land),90.5,NA
1981-01,"Vancouver, British Columbia",House only,96.1,NA
1981-01,"Vancouver, British Columbia",Land only,83.5,NA
1981-01,"Victoria, British Columbia",Total (house and land),128.7,NA
1981-01,"Victoria, British Columbia",House only,206.8,NA
1981-01,"Victoria, British Columbia",Land only,50.5,NA
1981-02,Canada,Total (house and land),38.7,NA
1981-02,Canada,House only,36.5,NA
