REF_DATE,GEO,VALUE,STATUS
2011-01,Canada,95.1,NA
2011-02,Canada,94.9,NA
2011-03,Canada,95,NA
2011-04,Canada,95.8,NA
2011-05,Canada,98.7,NA
2011-06,Canada,97.3,NA
2011-07,Canada,98.7,NA
2011-08,Canada,102.3,NA
2011-09,Canada,103.9,NA
2011-10,Canada,104.1,NA
2011-11,Canada,106.5,NA
2011-12,Canada,107.7,NA
2012-01,Canada,108.1,NA
2012-02,Canada,106.9,NA
2012-03,Canada,106.1,NA
2012-04,Canada,104.4,NA
2012-05,Canada,108.9,NA
2012-06,Canada,110,NA
2012-07,Canada,110.2,NA
2012-08,Canada,106.5,NA
2012-09,Canada,107,NA
2012-10,Canada,107.5,NA
2012-11,Canada,107.7,NA
2012-12,Canada,107.2,NA
2013-01,Canada,106,NA
2013-02,Canada,107.3,NA
2013-03,Canada,106.7,NA
2013-04,Canada,109.1,NA
2013-05,Canada,103.8,NA
2013-06,Canada,97.5,NA
2013-07,Canada,98.7,NA
2013-08,Canada,96.3,NA
2013-09,Canada,96.9,NA
2013-10,Canada,101.5,NA
2013-11,Canada,99,NA
2013-12,Canada,97.1,NA
2014-01,Canada,101.4,NA
2014-02,Canada,100.7,NA
2014-03,Canada,97.5,NA
2014-04,Canada,98.6,NA
2014-05,Canada,100,NA
2014-06,Canada,98.6,NA
2014-07,Canada,99.9,NA
2014-08,Canada,100.4,NA
2014-09,Canada,98.3,NA
2014-10,Canada,101.2,NA
2014-11,Canada,102.5,NA
2014-12,Canada,104.4,NA
2015-01,Canada,117,NA
2015-02,Canada,112.2,NA
2015-03,Canada,112.2,NA
2015-04,Canada,108.3,NA
2015-05,Canada,109.5,NA
2015-06,Canada,108.3,NA
2015-07,Canada,114.3,NA
2015-08,Canada,112.2,NA
2015-09,Canada,110.9,NA
2015-10,Canada,112.5,NA
2015-11,Canada,111.1,NA
2015-12,Canada,113.8,NA
2016-01,Canada,116.2,NA
2016-02,Canada,116.3,NA
2016-03,Canada,117.3,NA
2016-04,Canada,116,NA
2016-05,Canada,114.7,NA
2016-06,Canada,115.4,NA
2016-07,Canada,118.3,NA
2016-08,Canada,119.8,NA
2016-09,Canada,119.9,NA
2016-10,Canada,119.7,NA
2016-11,Canada,115.2,NA
2016-12,Canada,115.5,NA
2017-01,Canada,116.2,NA
2017-02,Canada,118.3,NA
2017-03,Canada,119.6,NA
2017-04,Canada,116.5,NA
2017-05,Canada,118.8,NA
2017-06,Canada,109.5,NA
2017-07,Canada,107.1,NA
2017-08,Canada,111,NA
2017-09,Canada,105.1,NA
2017-10,Canada,108,NA
2017-11,Canada,112.1,NA
2017-12,Canada,107.8,NA
2018-01,Canada,105.8,NA
2018-02,Canada,108.2,NA
2018-03,Canada,112.1,NA
2018-04,Canada,109.2,NA
2018-05,Canada,107.7,NA
2018-06,Canada,110,NA
2018-07,Canada,107.3,NA
2018-08,Canada,108.4,NA
2018-09,Canada,106.6,NA
2018-10,Canada,105.7,NA
2018-11,Canada,110.7,NA
2018-12,Canada,116.9,NA
2019-01,Canada,118.8,NA
2019-02,Canada,117.9,NA
2019-03,Canada,121.8,NA
2019-04,Canada,120.5,NA
2019-05,Canada,117.1,NA
2019-06,Canada,117.7,NA
2019-07,Canada,114.9,NA
2019-08,Canada,119.2,NA
2019-09,Canada,118.1,NA
2019-10,Canada,114.5,NA
2019-11,Canada,117.5,NA
2019-12,Canada,115.6,NA
2020-01,Canada,119.8,NA
2020-02,Canada,121.1,NA
2020-03,Canada,123.4,NA
