REF_DATE,GEO,VALUE,STATUS,Lending services price index
2017-01,Canada,110.4,NA,Total (individual and business)
2017-01,Canada,110.9,NA,Individual
2017-01,Canada,108.1,NA,Business
2017-04,Canada,99.1,NA,Total (individual and business)
2017-04,Canada,99.6,NA,Individual
2017-04,Canada,96.8,NA,Business
2017-07,Canada,94.9,NA,Total (individual and business)
2017-07,Canada,94.6,NA,Individual
2017-07,Canada,96.2,NA,Business
2017-10,Canada,95.7,NA,Total (individual and business)
2017-10,Canada,94.9,NA,Individual
2017-10,Canada,98.9,NA,Business
2018-01,Canada,96,NA,Total (individual and business)
2018-01,Canada,94.9,NA,Individual
2018-01,Canada,100.7,NA,Business
2018-04,Canada,96.8,NA,Total (individual and business)
2018-04,Canada,95.6,NA,Individual
2018-04,Canada,101.8,NA,Business
2018-07,Canada,97.7,NA,Total (individual and business)
2018-07,Canada,96,NA,Individual
2018-07,Canada,104.9,NA,Business
2018-10,Canada,97.5,NA,Total (individual and business)
2018-10,Canada,95.3,NA,Individual
2018-10,Canada,106.9,NA,Business
2019-01,Canada,99.2,NA,Total (individual and business)
2019-01,Canada,97.2,NA,Individual
2019-01,Canada,107.9,NA,Business
2019-04,Canada,100.3,NA,Total (individual and business)
2019-04,Canada,98.6,NA,Individual
2019-04,Canada,107.6,NA,Business
2019-07,Canada,100.9,NA,Total (individual and business)
2019-07,Canada,99.3,NA,Individual
2019-07,Canada,107.9,NA,Business
2019-10,Canada,101.5,NA,Total (individual and business)
2019-10,Canada,100.1,NA,Individual
2019-10,Canada,108.1,NA,Business
2020-01,Canada,100.1,NA,Total (individual and business)
2020-01,Canada,99.8,NA,Individual
2020-01,Canada,102.4,NA,Business
2020-04,Canada,102.4,NA,Total (individual and business)
2020-04,Canada,105.4,NA,Individual
2020-04,Canada,93.6,NA,Business
2020-07,Canada,102.6,NA,Total (individual and business)
2020-07,Canada,105.7,NA,Individual
2020-07,Canada,93.3,NA,Business
2020-10,Canada,102.3,NA,Total (individual and business)
2020-10,Canada,105.3,NA,Individual
2020-10,Canada,93.4,NA,Business
2021-01,Canada,102.2,NA,Total (individual and business)
2021-01,Canada,105.5,NA,Individual
2021-01,Canada,92.4,NA,Business
