REF_DATE,GEO,Sector,VALUE,STATUS
2006,Canada,"Total, domestic and international",94.1,NA
2006,Canada,Domestic,93.6,NA
2006,Canada,International,94.2,NA
2007,Canada,"Total, domestic and international",93.4,NA
2007,Canada,Domestic,92.7,NA
2007,Canada,International,93.6,NA
2008,Canada,"Total, domestic and international",95.6,NA
2008,Canada,Domestic,94.2,NA
2008,Canada,International,96.6,NA
2009,Canada,"Total, domestic and international",87.2,NA
2009,Canada,Domestic,83.4,NA
2009,Canada,International,90.5,NA
2010,Canada,"Total, domestic and international",89.7,NA
2010,Canada,Domestic,87.6,NA
2010,Canada,International,91.3,NA
2011,Canada,"Total, domestic and international",91.6,NA
2011,Canada,Domestic,91.3,NA
2011,Canada,International,91.7,NA
2012,Canada,"Total, domestic and international",91.2,NA
2012,Canada,Domestic,92,NA
2012,Canada,International,90.5,NA
2013,Canada,"Total, domestic and international",92.2,NA
2013,Canada,Domestic,92.4,NA
2013,Canada,International,91.9,NA
2014,Canada,"Total, domestic and international",90.4,NA
2014,Canada,Domestic,89.7,NA
2014,Canada,International,90.8,NA
2015,Canada,"Total, domestic and international",88.6,NA
2015,Canada,Domestic,85.6,NA
2015,Canada,International,90.7,NA
2016,Canada,"Total, domestic and international",82.8,NA
2016,Canada,Domestic,81.6,NA
2016,Canada,International,83.7,NA
2017,Canada,"Total, domestic and international",83.3,NA
2017,Canada,Domestic,81.9,NA
2017,Canada,International,84.2,NA
2018,Canada,"Total, domestic and international",81.8,NA
2018,Canada,Domestic,80.3,NA
2018,Canada,International,82.8,NA
