REF_DATE,GEO,North American Product Classification System (NAPCS),VALUE,STATUS,Classification Code for North American Product Classification System (NAPCS)
1981-01,Canada,"Total, Raw materials price indexes (RMPI)",40.6,NA,NA
1981-01,Canada,Crude energy products [M51],31.6,NA,[M51]
1981-01,Canada,Conventional crude oil [14111],32,NA,[14111]
1981-01,Canada,Natural gas [142],79.7,NA,[142]
1981-01,Canada,Hard coal [14411],64.4,NA,[14411]
1981-01,Canada,"Total, excluding crude energy products",47.6,NA,NA
1981-01,Canada,Crop products [M11],64.1,NA,[M11]
1981-01,Canada,Wheat [112],72.1,NA,[112]
1981-01,Canada,Canola (including rapeseed) [113],60.4,NA,[113]
1981-01,Canada,Fresh potatoes [11421],42.5,NA,[11421]
1981-01,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],69.3,NA,[11422]
1981-01,Canada,Animals and animal products [M21],52.8,NA,[M21]
1981-01,Canada,Cattle and calves [11111],58.7,NA,[11111]
1981-01,Canada,Hogs [11112],86.2,NA,[11112]
1981-01,Canada,Poultry [11113],63.3,NA,[11113]
1981-01,Canada,Eggs in shell [11611],47.3,NA,[11611]
1981-01,Canada,Unprocessed milk [11612],33.8,NA,[11612]
1981-01,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",44.9,NA,[121]
1981-01,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",44.9,NA,[12111]
1981-01,Canada,Non-metallic minerals [M31],35.5,NA,[M31]
1981-01,Canada,Stone [16211],30.8,NA,[16211]
1981-01,Canada,Logs and bolts [13111],35.3,NA,[13111]
1981-01,Canada,Pulpwood [13112],97.2,NA,[13112]
1981-01,Canada,Natural rubber [282M],72.3,NA,[282M]
1981-01,Canada,Iron ores and concentrates [151],47.2,NA,[151]
1981-01,Canada,Copper ores and concentrates [152],33.6,NA,[152]
1981-01,Canada,Nickel ores and concentrates [153],44,NA,[153]
1981-01,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-01,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",38.2,NA,[15511]
1981-01,Canada,Waste and scrap of iron and steel [15611],67.8,NA,[15611]
1981-01,Canada,Waste and scrap of non-ferrous metals [15612],30,NA,[15612]
1981-02,Canada,"Total, Raw materials price indexes (RMPI)",40.2,NA,NA
1981-02,Canada,Crude energy products [M51],31.7,NA,[M51]
1981-02,Canada,Conventional crude oil [14111],32,NA,[14111]
1981-02,Canada,Natural gas [142],80.2,NA,[142]
1981-02,Canada,Hard coal [14411],65.2,NA,[14411]
1981-02,Canada,"Total, excluding crude energy products",46.8,NA,NA
1981-02,Canada,Crop products [M11],62.8,NA,[M11]
1981-02,Canada,Wheat [112],71.6,NA,[112]
1981-02,Canada,Canola (including rapeseed) [113],59,NA,[113]
1981-02,Canada,Fresh potatoes [11421],48,NA,[11421]
1981-02,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],80.2,NA,[11422]
1981-02,Canada,Animals and animal products [M21],52.3,NA,[M21]
1981-02,Canada,Cattle and calves [11111],55,NA,[11111]
1981-02,Canada,Hogs [11112],90.8,NA,[11112]
1981-02,Canada,Poultry [11113],64.4,NA,[11113]
1981-02,Canada,Eggs in shell [11611],47.7,NA,[11611]
1981-02,Canada,Unprocessed milk [11612],33.9,NA,[11612]
1981-02,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",45.4,NA,[121]
1981-02,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",45.4,NA,[12111]
1981-02,Canada,Non-metallic minerals [M31],35.6,NA,[M31]
1981-02,Canada,Stone [16211],31.1,NA,[16211]
1981-02,Canada,Logs and bolts [13111],35.3,NA,[13111]
1981-02,Canada,Pulpwood [13112],97.2,NA,[13112]
1981-02,Canada,Natural rubber [282M],70.4,NA,[282M]
1981-02,Canada,Iron ores and concentrates [151],50.8,NA,[151]
1981-02,Canada,Copper ores and concentrates [152],32.3,NA,[152]
1981-02,Canada,Nickel ores and concentrates [153],44.1,NA,[153]
1981-02,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-02,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",33.4,NA,[15511]
1981-02,Canada,Waste and scrap of iron and steel [15611],68.4,NA,[15611]
1981-02,Canada,Waste and scrap of non-ferrous metals [15612],28.4,NA,[15612]
1981-03,Canada,"Total, Raw materials price indexes (RMPI)",40.6,NA,NA
1981-03,Canada,Crude energy products [M51],32.7,NA,[M51]
1981-03,Canada,Conventional crude oil [14111],33.3,NA,[14111]
1981-03,Canada,Natural gas [142],80.6,NA,[142]
1981-03,Canada,Hard coal [14411],64.1,NA,[14411]
1981-03,Canada,"Total, excluding crude energy products",46.5,NA,NA
1981-03,Canada,Crop products [M11],60.9,NA,[M11]
1981-03,Canada,Wheat [112],71.2,NA,[112]
1981-03,Canada,Canola (including rapeseed) [113],58.9,NA,[113]
1981-03,Canada,Fresh potatoes [11421],47.2,NA,[11421]
1981-03,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],83.6,NA,[11422]
1981-03,Canada,Animals and animal products [M21],51.7,NA,[M21]
1981-03,Canada,Cattle and calves [11111],55.4,NA,[11111]
1981-03,Canada,Hogs [11112],82.2,NA,[11112]
1981-03,Canada,Poultry [11113],64.7,NA,[11113]
1981-03,Canada,Eggs in shell [11611],47.7,NA,[11611]
1981-03,Canada,Unprocessed milk [11612],33.9,NA,[11612]
1981-03,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",45,NA,[121]
1981-03,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",45,NA,[12111]
1981-03,Canada,Non-metallic minerals [M31],36,NA,[M31]
1981-03,Canada,Stone [16211],31.7,NA,[16211]
1981-03,Canada,Logs and bolts [13111],35.8,NA,[13111]
1981-03,Canada,Pulpwood [13112],98.5,NA,[13112]
1981-03,Canada,Natural rubber [282M],67.3,NA,[282M]
1981-03,Canada,Iron ores and concentrates [151],50.5,NA,[151]
1981-03,Canada,Copper ores and concentrates [152],32.1,NA,[152]
1981-03,Canada,Nickel ores and concentrates [153],45.1,NA,[153]
1981-03,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-03,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",33.1,NA,[15511]
1981-03,Canada,Waste and scrap of iron and steel [15611],71.5,NA,[15611]
1981-03,Canada,Waste and scrap of non-ferrous metals [15612],28.7,NA,[15612]
1981-04,Canada,"Total, Raw materials price indexes (RMPI)",40.6,NA,NA
1981-04,Canada,Crude energy products [M51],32.7,NA,[M51]
1981-04,Canada,Conventional crude oil [14111],33.3,NA,[14111]
1981-04,Canada,Natural gas [142],80.6,NA,[142]
1981-04,Canada,Hard coal [14411],64.6,NA,[14411]
1981-04,Canada,"Total, excluding crude energy products",46.4,NA,NA
1981-04,Canada,Crop products [M11],59.1,NA,[M11]
1981-04,Canada,Wheat [112],68.6,NA,[112]
1981-04,Canada,Canola (including rapeseed) [113],60.6,NA,[113]
1981-04,Canada,Fresh potatoes [11421],52.6,NA,[11421]
1981-04,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],73.1,NA,[11422]
1981-04,Canada,Animals and animal products [M21],52.8,NA,[M21]
1981-04,Canada,Cattle and calves [11111],58.3,NA,[11111]
1981-04,Canada,Hogs [11112],81.1,NA,[11112]
1981-04,Canada,Poultry [11113],65,NA,[11113]
1981-04,Canada,Eggs in shell [11611],48,NA,[11611]
1981-04,Canada,Unprocessed milk [11612],34.7,NA,[11612]
1981-04,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",44.6,NA,[121]
1981-04,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",44.6,NA,[12111]
1981-04,Canada,Non-metallic minerals [M31],36.6,NA,[M31]
1981-04,Canada,Stone [16211],31.9,NA,[16211]
1981-04,Canada,Logs and bolts [13111],36.2,NA,[13111]
1981-04,Canada,Pulpwood [13112],98.5,NA,[13112]
1981-04,Canada,Natural rubber [282M],61.4,NA,[282M]
1981-04,Canada,Iron ores and concentrates [151],44.4,NA,[151]
1981-04,Canada,Copper ores and concentrates [152],32.3,NA,[152]
1981-04,Canada,Nickel ores and concentrates [153],45.1,NA,[153]
1981-04,Canada,Radioactive ores and concentrates [154],70.5,NA,[154]
1981-04,Canada,"Gold, silver, and platinum group metal ores and concentrates [15511]",31.5,NA,[15511]
1981-04,Canada,Waste and scrap of iron and steel [15611],71.5,NA,[15611]
1981-04,Canada,Waste and scrap of non-ferrous metals [15612],28.5,NA,[15612]
1981-05,Canada,"Total, Raw materials price indexes (RMPI)",41.1,NA,NA
1981-05,Canada,Crude energy products [M51],34.1,NA,[M51]
1981-05,Canada,Conventional crude oil [14111],34.9,NA,[14111]
1981-05,Canada,Natural gas [142],84.2,NA,[142]
1981-05,Canada,Hard coal [14411],64.7,NA,[14411]
1981-05,Canada,"Total, excluding crude energy products",46.3,NA,NA
1981-05,Canada,Crop products [M11],57.2,NA,[M11]
1981-05,Canada,Wheat [112],69.1,NA,[112]
1981-05,Canada,Canola (including rapeseed) [113],62.6,NA,[113]
1981-05,Canada,Fresh potatoes [11421],54.8,NA,[11421]
1981-05,Canada,Fresh vegetables (except potatoes and pulse crops) [11422],61.9,NA,[11422]
1981-05,Canada,Animals and animal products [M21],52.8,NA,[M21]
1981-05,Canada,Cattle and calves [11111],58.6,NA,[11111]
1981-05,Canada,Hogs [11112],81.9,NA,[11112]
1981-05,Canada,Poultry [11113],65.2,NA,[11113]
1981-05,Canada,Eggs in shell [11611],48.2,NA,[11611]
1981-05,Canada,Unprocessed milk [11612],34.9,NA,[11612]
1981-05,Canada,"Fish, crustaceans, shellfish and other fishery products [121]",42.5,NA,[121]
1981-05,Canada,"Fish, crustaceans, shellfish and other fishery products [12111]",42.5,NA,[12111]
1981-05,Canada,Non-metallic minerals [M31],36.8,NA,[M31]
1981-05,Canada,Stone [16211],31.8,NA,[16211]
1981-05,Canada,Logs and bolts [13111],36.6,NA,[13111]
1981-05,Canada,Pulpwood [13112],98.5,NA,[13112]
1981-05,Canada,Natural rubber [282M],61.2,NA,[282M]
1981-05,Canada,Iron ores and concentrates [151],44.6,NA,[151]
