REF_DATE,GEO,North American Industry Classification System (NAICS),VALUE,STATUS,Classification Code for North American Industry Classification System (NAICS)
2008-01,Canada,Retail trade [44-45],88.3,NA,[44-45]
2008-01,Canada,"Automotive parts, accessories and tire stores [4413]",88,NA,[4413]
2008-01,Canada,Automotive parts and accessories stores [44131],93.7,NA,[44131]
2008-01,Canada,Tire dealers [44132],84,NA,[44132]
2008-01,Canada,Furniture and home furnishings stores [442],95.1,NA,[442]
2008-01,Canada,Furniture stores [4421],96.2,NA,[4421]
2008-01,Canada,Furniture stores [44211],96.2,NA,[44211]
2008-01,Canada,Home furnishings stores [4422],93.3,NA,[4422]
2008-01,Canada,Floor covering stores [44221],84.4,NA,[44221]
2008-01,Canada,Other home furnishings stores [44229],100.7,NA,[44229]
2008-01,Canada,Electronics and appliance stores [443],125.3,NA,[443]
2008-01,Canada,Electronics and appliance stores [4431],125.3,NA,[4431]
2008-01,Canada,Electronics and appliance stores [44314],125.3,NA,[44314]
2008-01,Canada,Building material and garden equipment and supplies dealers [444],84.6,NA,[444]
2008-01,Canada,Building material and supplies dealers [4441],83.8,NA,[4441]
2008-01,Canada,Home centres [44411],80,NA,[44411]
2008-01,Canada,Paint and wallpaper stores [44412],95.2,NA,[44412]
2008-01,Canada,Other building material dealers [44419],103.1,NA,[44419]
2008-01,Canada,Lawn and garden equipment and supplies stores [4442],101.9,NA,[4442]
2008-01,Canada,Nursery stores and garden centres [44422],101.9,NA,[44422]
2008-01,Canada,Food and beverage stores [445],82.2,NA,[445]
2008-01,Canada,Grocery stores [4451],80.2,NA,[4451]
2008-01,Canada,Supermarkets and other grocery (except convenience) stores [44511],79.6,NA,[44511]
2008-01,Canada,Convenience stores [44512],85.1,NA,[44512]
2008-01,Canada,Specialty food stores [4452],81.4,NA,[4452]
2008-01,Canada,Other specialty food stores [44529],88.5,NA,[44529]
2008-01,Canada,"Beer, wine and liquor stores [4453]",93.8,NA,[4453]
2008-01,Canada,"Beer, wine and liquor stores [44531]",93.8,NA,[44531]
2008-01,Canada,Health and personal care stores [446],85.7,NA,[446]
2008-01,Canada,Health and personal care stores [4461],85.7,NA,[4461]
2008-01,Canada,Pharmacies and drug stores [44611],84.2,NA,[44611]
2008-01,Canada,"Cosmetics, beauty supplies and perfume stores [44612]",91.9,NA,[44612]
2008-01,Canada,Optical goods stores [44613],98.3,NA,[44613]
2008-01,Canada,Other health and personal care stores [44619],97.7,NA,[44619]
2008-01,Canada,Gasoline stations [447],90.4,NA,[447]
2008-01,Canada,Gasoline stations [4471],90.4,NA,[4471]
2008-01,Canada,Gasoline stations with convenience stores [44711],83.5,NA,[44711]
2008-01,Canada,Other gasoline stations [44719],93.3,NA,[44719]
2008-01,Canada,Clothing and clothing accessories stores [448],101,NA,[448]
2008-01,Canada,Clothing stores [4481],99.5,NA,[4481]
2008-01,Canada,Men's clothing stores [44811],99.4,NA,[44811]
2008-01,Canada,Women's clothing stores [44812],97.2,NA,[44812]
2008-01,Canada,Family clothing stores [44814],101.7,NA,[44814]
2008-01,Canada,Other clothing stores [44819],103.6,NA,[44819]
2008-01,Canada,Shoe stores [4482],119.5,NA,[4482]
2008-01,Canada,Shoe stores [44821],119.5,NA,[44821]
2008-01,Canada,"Jewellery, luggage and leather goods stores [4483]",95.8,NA,[4483]
2008-01,Canada,Jewellery stores [44831],94.4,NA,[44831]
2008-01,Canada,Luggage and leather goods stores [44832],108,NA,[44832]
2008-01,Canada,"Sporting goods, hobby, book and music stores [451]",101.6,NA,[451]
2008-01,Canada,"Sporting goods, hobby and musical instrument stores [4511]",104,NA,[4511]
2008-01,Canada,Sporting goods stores [45111],100.2,NA,[45111]
2008-01,Canada,"Hobby, toy and game stores [45112]",118.5,NA,[45112]
2008-01,Canada,"Sewing, needlework and piece goods stores [45113]",88.8,NA,[45113]
2008-01,Canada,Musical instrument and supplies stores [45114],96.1,NA,[45114]
2008-01,Canada,Book stores and news dealers [4513],91.3,NA,[4513]
2008-01,Canada,Book stores and news dealers [45131],91.3,NA,[45131]
2008-01,Canada,General merchandise stores [452],84.6,NA,[452]
2008-01,Canada,Other general merchandise stores [4529],96.5,NA,[4529]
2008-01,Canada,All other general merchandise stores [45299],96.8,NA,[45299]
2008-01,Canada,Miscellaneous store retailers [453],90.7,NA,[453]
2008-01,Canada,"Office supplies, stationery and gift stores [4532]",91.2,NA,[4532]
2008-01,Canada,Office supplies and stationery stores [45321],91.5,NA,[45321]
