REF_DATE,GEO,Client groups,VALUE,STATUS
2000-12,Canada,"Total, all client groups",71.7,NA
2000-12,Canada,Leisure clients,72.8,NA
2000-12,Canada,Business clients,69.7,NA
2000-12,Atlantic Region,"Total, all client groups",66,NA
2000-12,Atlantic Region,Leisure clients,65.9,NA
2000-12,Atlantic Region,Business clients,65.7,NA
2000-12,Newfoundland and Labrador,"Total, all client groups",59.7,NA
2000-12,Newfoundland and Labrador,Leisure clients,57.7,NA
2000-12,Newfoundland and Labrador,Business clients,60.5,NA
2000-12,Prince Edward Island,"Total, all client groups",62.8,NA
2000-12,Prince Edward Island,Leisure clients,60.7,NA
2000-12,Prince Edward Island,Business clients,65.8,NA
2000-12,Nova Scotia,"Total, all client groups",69.7,NA
2000-12,Nova Scotia,Leisure clients,71.9,NA
2000-12,Nova Scotia,Business clients,67.9,NA
2000-12,New Brunswick,"Total, all client groups",68.2,NA
2000-12,New Brunswick,Leisure clients,68.3,NA
2000-12,New Brunswick,Business clients,68.1,NA
2000-12,Quebec Region,"Total, all client groups",72.3,NA
2000-12,Quebec Region,Leisure clients,70.5,NA
2000-12,Quebec Region,Business clients,74.1,NA
2000-12,Quebec,"Total, all client groups",72.3,NA
2000-12,Quebec,Leisure clients,70.5,NA
2000-12,Quebec,Business clients,74.1,NA
2000-12,Ontario Region,"Total, all client groups",82.1,NA
2000-12,Ontario Region,Leisure clients,85.8,NA
2000-12,Ontario Region,Business clients,79.4,NA
2000-12,Ontario,"Total, all client groups",82.1,NA
2000-12,Ontario,Leisure clients,85.8,NA
2000-12,Ontario,Business clients,79.4,NA
2000-12,Prairie Region,"Total, all client groups",61.1,NA
2000-12,Prairie Region,Leisure clients,64.2,NA
2000-12,Prairie Region,Business clients,57.7,NA
2000-12,Manitoba,"Total, all client groups",71.2,NA
2000-12,Manitoba,Leisure clients,68.9,NA
2000-12,Manitoba,Business clients,73,NA
2000-12,Saskatchewan,"Total, all client groups",54,NA
2000-12,Saskatchewan,Leisure clients,56.9,NA
2000-12,Saskatchewan,Business clients,51.9,NA
2000-12,Alberta,"Total, all client groups",61.1,NA
2000-12,Alberta,Leisure clients,65.3,NA
2000-12,Alberta,Business clients,57.1,NA
2000-12,British Columbia Region,"Total, all client groups",68.2,NA
2000-12,British Columbia Region,Leisure clients,67.9,NA
2000-12,British Columbia Region,Business clients,67.3,NA
2000-12,British Columbia,"Total, all client groups",68.2,NA
2000-12,British Columbia,Leisure clients,67.9,NA
2000-12,British Columbia,Business clients,67.3,NA
2000-12,Territories,"Total, all client groups",70.5,NA
