REF_DATE,GEO,Client groups,VALUE,STATUS
2001-01,Canada,"Total, all client groups",75.2,NA
2001-01,Canada,Leisure clients,75.6,NA
2001-01,Canada,Business clients,73.3,NA
2001-01,Atlantic Region,"Total, all client groups",68.5,NA
2001-01,Atlantic Region,Leisure clients,67.8,NA
2001-01,Atlantic Region,Business clients,68.6,NA
2001-01,Newfoundland and Labrador,"Total, all client groups",63.9,NA
2001-01,Newfoundland and Labrador,Leisure clients,62.5,NA
2001-01,Newfoundland and Labrador,Business clients,64.4,NA
2001-01,Prince Edward Island,"Total, all client groups",65.4,NA
2001-01,Prince Edward Island,Leisure clients,62.3,NA
2001-01,Prince Edward Island,Business clients,70.2,NA
2001-01,Nova Scotia,"Total, all client groups",71.2,NA
2001-01,Nova Scotia,Leisure clients,73.4,NA
2001-01,Nova Scotia,Business clients,69.3,NA
2001-01,New Brunswick,"Total, all client groups",70.3,NA
2001-01,New Brunswick,Leisure clients,68.7,NA
2001-01,New Brunswick,Business clients,71.2,NA
2001-01,Quebec Region,"Total, all client groups",76.5,NA
2001-01,Quebec Region,Leisure clients,74,NA
2001-01,Quebec Region,Business clients,78.7,NA
2001-01,Quebec,"Total, all client groups",76.5,NA
2001-01,Quebec,Leisure clients,74,NA
2001-01,Quebec,Business clients,78.7,NA
2001-01,Ontario Region,"Total, all client groups",84.6,NA
2001-01,Ontario Region,Leisure clients,88.5,NA
2001-01,Ontario Region,Business clients,81.9,NA
2001-01,Ontario,"Total, all client groups",84.6,NA
2001-01,Ontario,Leisure clients,88.5,NA
2001-01,Ontario,Business clients,81.9,NA
2001-01,Prairie Region,"Total, all client groups",63.8,NA
2001-01,Prairie Region,Leisure clients,65.6,NA
2001-01,Prairie Region,Business clients,60.7,NA
2001-01,Manitoba,"Total, all client groups",73.2,NA
2001-01,Manitoba,Leisure clients,71.3,NA
2001-01,Manitoba,Business clients,74.5,NA
2001-01,Saskatchewan,"Total, all client groups",56.6,NA
2001-01,Saskatchewan,Leisure clients,57.8,NA
2001-01,Saskatchewan,Business clients,55.6,NA
2001-01,Alberta,"Total, all client groups",63.9,NA
2001-01,Alberta,Leisure clients,66.5,NA
2001-01,Alberta,Business clients,60,NA
2001-01,British Columbia Region,"Total, all client groups",74.3,NA
2001-01,British Columbia Region,Leisure clients,72.1,NA
2001-01,British Columbia Region,Business clients,74.4,NA
2001-01,British Columbia,"Total, all client groups",74.3,NA
2001-01,British Columbia,Leisure clients,72.1,NA
2001-01,British Columbia,Business clients,74.4,NA
2001-01,Territories,"Total, all client groups",74,NA
2001-01,Territories,Leisure clients,79.2,NA
2001-01,Territories,Business clients,71.4,NA
2001-01,Yukon,"Total, all client groups",75.2,NA
2001-01,Yukon,Leisure clients,79.7,NA
2001-01,Yukon,Business clients,70.8,NA
2001-01,Northwest Territories,"Total, all client groups",79.4,NA
